workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,practice,encoding,memory,block,trial,stim,answer,left_image,right_image,condition,response,response_time,response_acc,order_response,order_response_time,order_acc,distance_response,distance_response_time
C4FgLaFk,NA,NA,C4FgLaFk,2020-0188,2021-09-21,13:52:41,18:59:47,NA,incomplete,true,true,NA,0,0,E30_Q1_ansL.png,left,NA,NA,NA,left,2855.99999999907,true,NA,NA,NA,NA,NA
C4FgLaFk,NA,NA,C4FgLaFk,2020-0188,2021-09-21,13:52:41,18:59:47,NA,incomplete,true,true,NA,0,1,E30_Q4_ansL.png,left,NA,NA,NA,none,0,false,NA,NA,NA,NA,NA
C4FgLaFk,NA,NA,C4FgLaFk,2020-0188,2021-09-21,13:52:41,18:59:47,NA,incomplete,true,true,NA,0,2,E30_Q9_ansL.png,left,NA,NA,NA,left,2050.99999999907,true,NA,NA,NA,NA,NA
C4FgLaFk,NA,NA,C4FgLaFk,2020-0188,2021-09-21,13:52:41,18:59:47,NA,incomplete,true,true,NA,0,3,E30_Q10_ansR.png,right,NA,NA,NA,right,2084.99999999907,true,NA,NA,NA,NA,NA
C4FgLaFk,NA,NA,C4FgLaFk,2020-0188,2021-09-21,13:52:41,18:59:47,NA,incomplete,true,true,NA,0,4,E30_Q6_ansR.png,right,NA,NA,NA,right,1794.99999999907,true,NA,NA,NA,NA,NA
C4FgLaFk,NA,NA,C4FgLaFk,2020-0188,2021-09-21,13:52:41,18:59:47,NA,incomplete,true,true,NA,0,5,E30_Q7_ansL.png,left,NA,NA,NA,right,2661,false,NA,NA,NA,NA,NA
C4FgLaFk,NA,NA,C4FgLaFk,2020-0188,2021-09-21,13:52:41,18:59:47,NA,incomplete,true,true,NA,0,6,E30_Q2_ansL.png,left,NA,NA,NA,right,1621,false,NA,NA,NA,NA,NA
C4FgLaFk,NA,NA,C4FgLaFk,2020-0188,2021-09-21,13:52:41,18:59:47,NA,incomplete,true,true,NA,0,7,E30_Q8_ansL.png,left,NA,NA,NA,right,2384,false,NA,NA,NA,NA,NA
C4FgLaFk,NA,NA,C4FgLaFk,2020-0188,2021-09-21,13:52:41,18:59:47,NA,incomplete,true,true,NA,0,8,E30_Q5_ansR.png,right,NA,NA,NA,right,1903,true,NA,NA,NA,NA,NA
C4FgLaFk,NA,NA,C4FgLaFk,2020-0188,2021-09-21,13:52:41,18:59:47,NA,incomplete,true,true,NA,0,9,E30_Q3_ansL.png,left,NA,NA,NA,left,2644,true,NA,NA,NA,NA,NA
C4FgLaFk,NA,NA,C4FgLaFk,2020-0188,2021-09-21,13:52:41,18:59:47,NA,incomplete,true,true,NA,0,10,E27_Q8_ansL.png,left,NA,NA,NA,left,1341,true,NA,NA,NA,NA,NA
C4FgLaFk,NA,NA,C4FgLaFk,2020-0188,2021-09-21,13:52:41,18:59:47,NA,incomplete,true,true,NA,0,11,E27_Q3_ansR.png,right,NA,NA,NA,right,665,true,NA,NA,NA,NA,NA
C4FgLaFk,NA,NA,C4FgLaFk,2020-0188,2021-09-21,13:52:41,18:59:47,NA,incomplete,true,true,NA,0,12,E27_Q5_ansR.png,right,NA,NA,NA,right,975,true,NA,NA,NA,NA,NA
C4FgLaFk,NA,NA,C4FgLaFk,2020-0188,2021-09-21,13:52:41,18:59:47,NA,incomplete,true,true,NA,0,13,E27_Q2_ansL.png,left,NA,NA,NA,left,761,true,NA,NA,NA,NA,NA
C4FgLaFk,NA,NA,C4FgLaFk,2020-0188,2021-09-21,13:52:41,18:59:47,NA,incomplete,true,true,NA,0,14,E27_Q10_ansL.png,left,NA,NA,NA,left,861,true,NA,NA,NA,NA,NA
C4FgLaFk,NA,NA,C4FgLaFk,2020-0188,2021-09-21,13:52:41,18:59:47,NA,incomplete,true,true,NA,0,15,E27_Q7_ansL.png,left,NA,NA,NA,left,772,true,NA,NA,NA,NA,NA
C4FgLaFk,NA,NA,C4FgLaFk,2020-0188,2021-09-21,13:52:41,18:59:47,NA,incomplete,true,true,NA,0,16,E27_Q6_ansR.png,right,NA,NA,NA,right,1211,true,NA,NA,NA,NA,NA
C4FgLaFk,NA,NA,C4FgLaFk,2020-0188,2021-09-21,13:52:41,18:59:47,NA,incomplete,true,true,NA,0,17,E27_Q4_ansR.png,right,NA,NA,NA,right,864,true,NA,NA,NA,NA,NA
C4FgLaFk,NA,NA,C4FgLaFk,2020-0188,2021-09-21,13:52:41,18:59:47,NA,incomplete,true,true,NA,0,18,E27_Q1_ansL.png,left,NA,NA,NA,left,1106,true,NA,NA,NA,NA,NA
C4FgLaFk,NA,NA,C4FgLaFk,2020-0188,2021-09-21,13:52:41,18:59:47,NA,incomplete,true,true,NA,0,19,E27_Q9_ansR.png,right,NA,NA,NA,right,951,true,NA,NA,NA,NA,NA
C4FgLaFk,NA,NA,C4FgLaFk,2020-0188,2021-09-21,13:52:41,18:59:47,NA,incomplete,true,true,NA,0,20,E5_Q5_ansR.png,right,NA,NA,NA,right,1889,true,NA,NA,NA,NA,NA
C4FgLaFk,NA,NA,C4FgLaFk,2020-0188,2021-09-21,13:52:41,18:59:47,NA,incomplete,true,true,NA,0,21,E5_Q6_ansR.png,right,NA,NA,NA,right,1652,true,NA,NA,NA,NA,NA
C4FgLaFk,NA,NA,C4FgLaFk,2020-0188,2021-09-21,13:52:41,18:59:47,NA,incomplete,true,true,NA,0,22,E5_Q4_ansR.png,right,NA,NA,NA,right,1014,true,NA,NA,NA,NA,NA
C4FgLaFk,NA,NA,C4FgLaFk,2020-0188,2021-09-21,13:52:41,18:59:47,NA,incomplete,true,true,NA,0,23,E5_Q3_ansR.png,right,NA,NA,NA,right,956.000000000931,true,NA,NA,NA,NA,NA
C4FgLaFk,NA,NA,C4FgLaFk,2020-0188,2021-09-21,13:52:41,18:59:47,NA,incomplete,true,true,NA,0,24,E5_Q10_ansR.png,right,NA,NA,NA,right,1254.00000000093,true,NA,NA,NA,NA,NA
C4FgLaFk,NA,NA,C4FgLaFk,2020-0188,2021-09-21,13:52:41,18:59:47,NA,incomplete,true,true,NA,0,25,E5_Q2_ansL.png,left,NA,NA,NA,left,1024,true,NA,NA,NA,NA,NA
C4FgLaFk,NA,NA,C4FgLaFk,2020-0188,2021-09-21,13:52:41,18:59:47,NA,incomplete,true,true,NA,0,26,E5_Q8_ansL.png,left,NA,NA,NA,left,1186,true,NA,NA,NA,NA,NA
C4FgLaFk,NA,NA,C4FgLaFk,2020-0188,2021-09-21,13:52:41,18:59:47,NA,incomplete,true,true,NA,0,27,E5_Q9_ansR.png,right,NA,NA,NA,right,1152,true,NA,NA,NA,NA,NA
C4FgLaFk,NA,NA,C4FgLaFk,2020-0188,2021-09-21,13:52:41,18:59:47,NA,incomplete,true,true,NA,0,28,E5_Q1_ansL.png,left,NA,NA,NA,left,1095,true,NA,NA,NA,NA,NA
C4FgLaFk,NA,NA,C4FgLaFk,2020-0188,2021-09-21,13:52:41,18:59:47,NA,incomplete,true,true,NA,0,29,E5_Q7_ansL.png,left,NA,NA,NA,left,2126,true,NA,NA,NA,NA,NA
C4FgLaFk,NA,NA,C4FgLaFk,2020-0188,2021-09-21,13:52:41,18:59:47,NA,incomplete,true,NA,true,0,0,NA,left,E30_Q9_ansL.png,E30_Q7_ansL.png,within,NA,NaN,NA,left,4057,1,2,12032.000000000931
C4FgLaFk,NA,NA,C4FgLaFk,2020-0188,2021-09-21,13:52:41,18:59:47,NA,incomplete,true,NA,true,0,1,NA,left,E30_Q10_ansR.png,E30_Q2_ansL.png,within,NA,NaN,NA,left,3609,1,2,4604.000000000931
C4FgLaFk,NA,NA,C4FgLaFk,2020-0188,2021-09-21,13:52:41,18:59:47,NA,incomplete,true,NA,true,0,2,NA,right,E27_Q3_ansR.png,E30_Q5_ansR.png,between,NA,NaN,NA,right,3586.9999999990687,1,2,1546.9999999990687
