workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,practice,encoding,memory,block,trial,stim,answer,left_image,right_image,condition,response,response_time,response_acc,order_response,order_response_time,order_acc,distance_response,distance_response_time
t53MoJEb,NA,NA,t53MoJEb,2020-0188,2021-11-15,17:27:21,18:59:23,NA,incomplete,true,true,NA,0,0,E1_Q3_ansR.png,right,NA,NA,NA,right,2529.5,true,NA,NA,NA,NA,NA
t53MoJEb,NA,NA,t53MoJEb,2020-0188,2021-11-15,17:27:21,18:59:23,NA,incomplete,true,true,NA,0,1,E1_Q2_ansL.png,left,NA,NA,NA,left,1452,true,NA,NA,NA,NA,NA
t53MoJEb,NA,NA,t53MoJEb,2020-0188,2021-11-15,17:27:21,18:59:23,NA,incomplete,true,true,NA,0,2,E1_Q1_ansL.png,left,NA,NA,NA,left,1764.5,true,NA,NA,NA,NA,NA
t53MoJEb,NA,NA,t53MoJEb,2020-0188,2021-11-15,17:27:21,18:59:23,NA,incomplete,true,true,NA,0,3,E1_Q9_ansL.png,left,NA,NA,NA,left,950.20000000298,true,NA,NA,NA,NA,NA
t53MoJEb,NA,NA,t53MoJEb,2020-0188,2021-11-15,17:27:21,18:59:23,NA,incomplete,true,true,NA,0,4,E1_Q4_ansL.png,left,NA,NA,NA,left,1850,true,NA,NA,NA,NA,NA
t53MoJEb,NA,NA,t53MoJEb,2020-0188,2021-11-15,17:27:21,18:59:23,NA,incomplete,true,true,NA,0,5,E1_Q8_ansR.png,right,NA,NA,NA,left,1606.5,false,NA,NA,NA,NA,NA
t53MoJEb,NA,NA,t53MoJEb,2020-0188,2021-11-15,17:27:21,18:59:23,NA,incomplete,true,true,NA,0,6,E1_Q5_ansR.png,right,NA,NA,NA,right,1993.39999999106,true,NA,NA,NA,NA,NA
t53MoJEb,NA,NA,t53MoJEb,2020-0188,2021-11-15,17:27:21,18:59:23,NA,incomplete,true,true,NA,0,7,E1_Q7_ansL.png,left,NA,NA,NA,left,1109.5,true,NA,NA,NA,NA,NA
t53MoJEb,NA,NA,t53MoJEb,2020-0188,2021-11-15,17:27:21,18:59:23,NA,incomplete,true,true,NA,0,8,E1_Q10_ansR.png,right,NA,NA,NA,right,1290.60000000894,true,NA,NA,NA,NA,NA
t53MoJEb,NA,NA,t53MoJEb,2020-0188,2021-11-15,17:27:21,18:59:23,NA,incomplete,true,true,NA,0,9,E1_Q6_ansR.png,right,NA,NA,NA,right,944,true,NA,NA,NA,NA,NA
t53MoJEb,NA,NA,t53MoJEb,2020-0188,2021-11-15,17:27:21,18:59:23,NA,incomplete,true,true,NA,0,10,E9_Q3_ansL.png,left,NA,NA,NA,left,2186.59999999404,true,NA,NA,NA,NA,NA
t53MoJEb,NA,NA,t53MoJEb,2020-0188,2021-11-15,17:27:21,18:59:23,NA,incomplete,true,true,NA,0,11,E9_Q10_ansR.png,right,NA,NA,NA,right,1395.40000000596,true,NA,NA,NA,NA,NA
t53MoJEb,NA,NA,t53MoJEb,2020-0188,2021-11-15,17:27:21,18:59:23,NA,incomplete,true,true,NA,0,12,E9_Q7_ansR.png,right,NA,NA,NA,right,1162.79999999702,true,NA,NA,NA,NA,NA
t53MoJEb,NA,NA,t53MoJEb,2020-0188,2021-11-15,17:27:21,18:59:23,NA,incomplete,true,true,NA,0,13,E9_Q1_ansR.png,right,NA,NA,NA,right,1298.70000000298,true,NA,NA,NA,NA,NA
t53MoJEb,NA,NA,t53MoJEb,2020-0188,2021-11-15,17:27:21,18:59:23,NA,incomplete,true,true,NA,0,14,E9_Q6_ansL.png,left,NA,NA,NA,left,1774.79999999702,true,NA,NA,NA,NA,NA
t53MoJEb,NA,NA,t53MoJEb,2020-0188,2021-11-15,17:27:21,18:59:23,NA,incomplete,true,true,NA,0,15,E9_Q2_ansR.png,right,NA,NA,NA,right,1385.09999999404,true,NA,NA,NA,NA,NA
t53MoJEb,NA,NA,t53MoJEb,2020-0188,2021-11-15,17:27:21,18:59:23,NA,incomplete,true,true,NA,0,16,E9_Q8_ansR.png,right,NA,NA,NA,right,1497.5,true,NA,NA,NA,NA,NA
t53MoJEb,NA,NA,t53MoJEb,2020-0188,2021-11-15,17:27:21,18:59:23,NA,incomplete,true,true,NA,0,17,E9_Q9_ansL.png,left,NA,NA,NA,left,1292.79999999702,true,NA,NA,NA,NA,NA
t53MoJEb,NA,NA,t53MoJEb,2020-0188,2021-11-15,17:27:21,18:59:23,NA,incomplete,true,true,NA,0,18,E9_Q4_ansL.png,left,NA,NA,NA,left,1509.90000000596,true,NA,NA,NA,NA,NA
t53MoJEb,NA,NA,t53MoJEb,2020-0188,2021-11-15,17:27:21,18:59:23,NA,incomplete,true,true,NA,0,19,E9_Q5_ansL.png,left,NA,NA,NA,right,1462.10000000894,false,NA,NA,NA,NA,NA
t53MoJEb,NA,NA,t53MoJEb,2020-0188,2021-11-15,17:27:21,18:59:23,NA,incomplete,true,true,NA,0,20,E7_Q4_ansR.png,right,NA,NA,NA,right,2192.09999999404,true,NA,NA,NA,NA,NA
t53MoJEb,NA,NA,t53MoJEb,2020-0188,2021-11-15,17:27:21,18:59:23,NA,incomplete,true,true,NA,0,21,E7_Q6_ansR.png,right,NA,NA,NA,right,1936.19999998808,true,NA,NA,NA,NA,NA
t53MoJEb,NA,NA,t53MoJEb,2020-0188,2021-11-15,17:27:21,18:59:23,NA,incomplete,true,true,NA,0,22,E7_Q10_ansR.png,right,NA,NA,NA,right,1943.19999998808,true,NA,NA,NA,NA,NA
t53MoJEb,NA,NA,t53MoJEb,2020-0188,2021-11-15,17:27:21,18:59:23,NA,incomplete,true,true,NA,0,23,E7_Q1_ansL.png,left,NA,NA,NA,left,1435.20000000298,true,NA,NA,NA,NA,NA
t53MoJEb,NA,NA,t53MoJEb,2020-0188,2021-11-15,17:27:21,18:59:23,NA,incomplete,true,true,NA,0,24,E7_Q5_ansR.png,right,NA,NA,NA,right,2770.40000000596,true,NA,NA,NA,NA,NA
t53MoJEb,NA,NA,t53MoJEb,2020-0188,2021-11-15,17:27:21,18:59:23,NA,incomplete,true,true,NA,0,25,E7_Q8_ansL.png,left,NA,NA,NA,left,1704.59999999404,true,NA,NA,NA,NA,NA
t53MoJEb,NA,NA,t53MoJEb,2020-0188,2021-11-15,17:27:21,18:59:23,NA,incomplete,true,true,NA,0,26,E7_Q9_ansR.png,right,NA,NA,NA,right,1860.70000000298,true,NA,NA,NA,NA,NA
t53MoJEb,NA,NA,t53MoJEb,2020-0188,2021-11-15,17:27:21,18:59:23,NA,incomplete,true,true,NA,0,27,E7_Q7_ansL.png,left,NA,NA,NA,left,1514.80000001192,true,NA,NA,NA,NA,NA
t53MoJEb,NA,NA,t53MoJEb,2020-0188,2021-11-15,17:27:21,18:59:23,NA,incomplete,true,true,NA,0,28,E7_Q3_ansR.png,right,NA,NA,NA,right,1398.80000001192,true,NA,NA,NA,NA,NA
t53MoJEb,NA,NA,t53MoJEb,2020-0188,2021-11-15,17:27:21,18:59:23,NA,incomplete,true,true,NA,0,29,E7_Q2_ansL.png,left,NA,NA,NA,left,1432,true,NA,NA,NA,NA,NA
t53MoJEb,NA,NA,t53MoJEb,2020-0188,2021-11-15,17:27:21,18:59:23,NA,incomplete,true,NA,true,0,0,NA,left,E9_Q2_ansR.png,E9_Q4_ansL.png,within,NA,NaN,NA,left,10193.89999999106,1,1,2303.7999999970198
t53MoJEb,NA,NA,t53MoJEb,2020-0188,2021-11-15,17:27:21,18:59:23,NA,incomplete,true,NA,true,0,1,NA,right,E9_Q5_ansL.png,E9_Q8_ansR.png,within,NA,NaN,NA,left,2402.5,0,1,1226.300000011921
t53MoJEb,NA,NA,t53MoJEb,2020-0188,2021-11-15,17:27:21,18:59:23,NA,incomplete,true,NA,true,0,2,NA,left,E7_Q5_ansR.png,E7_Q7_ansL.png,within,NA,NaN,NA,left,1547.7999999970198,1,1,1177.3999999910593
t53MoJEb,NA,NA,t53MoJEb,2020-0188,2021-11-15,17:27:21,18:59:23,NA,incomplete,true,NA,true,0,3,NA,right,E9_Q10_ansR.png,E1_Q10_ansR.png,between,NA,NaN,NA,right,2929.5999999940395,1,1,1604.8999999910593
t53MoJEb,NA,NA,t53MoJEb,2020-0188,2021-11-15,17:27:21,18:59:23,NA,incomplete,true,NA,true,0,4,NA,left,E1_Q3_ansR.png,E1_Q9_ansL.png,within,NA,NaN,NA,left,11739.300000011921,1,1,4034.8999999910593
t53MoJEb,NA,NA,t53MoJEb,2020-0188,2021-11-15,17:27:21,18:59:23,NA,incomplete,true,NA,true,0,5,NA,left,E1_Q2_ansL.png,E1_Q4_ansL.png,within,NA,NaN,NA,right,6058.79999999702,0,1,1068.5999999940395
t53MoJEb,NA,NA,t53MoJEb,2020-0188,2021-11-15,17:27:21,18:59:23,NA,incomplete,true,NA,true,0,6,NA,right,E9_Q2_ansR.png,E9_Q7_ansR.png,within,NA,NaN,NA,left,11852.40000000596,0,1,1143.8999999910593
t53MoJEb,NA,NA,t53MoJEb,2020-0188,2021-11-15,17:27:21,18:59:23,NA,incomplete,true,NA,true,0,7,NA,left,E7_Q8_ansL.png,E7_Q3_ansR.png,within,NA,NaN,NA,right,2004.7000000029802,0,2,831.2000000029802
t53MoJEb,NA,NA,t53MoJEb,2020-0188,2021-11-15,17:27:21,18:59:23,NA,incomplete,true,NA,true,0,8,NA,right,E7_Q9_ansR.png,E7_Q1_ansL.png,within,NA,NaN,NA,right,3851.9000000059605,1,1,1372.9000000059605
t53MoJEb,NA,NA,t53MoJEb,2020-0188,2021-11-15,17:27:21,18:59:23,NA,incomplete,true,NA,true,0,9,NA,left,E9_Q9_ansL.png,E7_Q4_ansR.png,between,NA,NaN,NA,right,2083.0999999940395,0,2,904.5999999940395
t53MoJEb,NA,NA,t53MoJEb,2020-0188,2021-11-15,17:27:21,18:59:23,NA,incomplete,true,NA,true,0,10,NA,left,E1_Q1_ansL.png,E1_Q8_ansR.png,within,NA,NaN,NA,right,9068.79999999702,0,1,14778.79999999702
t53MoJEb,NA,NA,t53MoJEb,2020-0188,2021-11-15,17:27:21,18:59:23,NA,incomplete,true,NA,true,0,11,NA,left,E9_Q10_ansR.png,E9_Q6_ansL.png,within,NA,NaN,NA,left,3339.7999999970198,1,1,1192
t53MoJEb,NA,NA,t53MoJEb,2020-0188,2021-11-15,17:27:21,18:59:23,NA,incomplete,true,NA,true,0,12,NA,right,E9_Q9_ansL.png,E9_Q6_ansL.png,within,NA,NaN,NA,right,2535.4000000059605,1,1,1117.5
t53MoJEb,NA,NA,t53MoJEb,2020-0188,2021-11-15,17:27:21,18:59:23,NA,incomplete,true,NA,true,0,13,NA,right,E7_Q10_ansR.png,E9_Q5_ansL.png,between,NA,NaN,NA,right,5324.0999999940395,1,2,1152.0999999940395
t53MoJEb,NA,NA,t53MoJEb,2020-0188,2021-11-15,17:27:21,18:59:23,NA,incomplete,true,NA,true,0,14,NA,right,E9_Q7_ansR.png,E1_Q6_ansR.png,between,NA,NaN,NA,right,7137.100000008941,1,2,1100.7000000029802
t53MoJEb,NA,NA,t53MoJEb,2020-0188,2021-11-15,17:27:21,18:59:23,NA,incomplete,true,NA,true,0,15,NA,left,E1_Q9_ansL.png,E1_Q5_ansR.png,within,NA,NaN,NA,left,3908.9000000059605,1,1,14261.10000000894
t53MoJEb,NA,NA,t53MoJEb,2020-0188,2021-11-15,17:27:21,18:59:23,NA,incomplete,true,NA,true,0,16,NA,left,E7_Q4_ansR.png,E7_Q1_ansL.png,within,NA,NaN,NA,left,1677.8999999910593,1,2,1053.3999999910593
t53MoJEb,NA,NA,t53MoJEb,2020-0188,2021-11-15,17:27:21,18:59:23,NA,incomplete,true,NA,true,0,17,NA,right,E7_Q8_ansL.png,E7_Q10_ansR.png,within,NA,NaN,NA,left,21179.10000000894,0,1,2845.5999999940395
t53MoJEb,NA,NA,t53MoJEb,2020-0188,2021-11-15,17:27:21,18:59:23,NA,incomplete,true,NA,true,0,18,NA,right,E9_Q3_ansL.png,E1_Q7_ansL.png,between,NA,NaN,NA,right,1293,1,2,12135.09999999404
t53MoJEb,NA,NA,t53MoJEb,2020-0188,2021-11-15,17:27:21,18:59:23,NA,incomplete,true,NA,true,0,19,NA,left,E1_Q5_ansR.png,E1_Q6_ansR.png,within,NA,NaN,NA,right,2031.0999999940395,0,1,1183.199999988079
t53MoJEb,NA,NA,t53MoJEb,2020-0188,2021-11-15,17:27:21,18:59:23,NA,incomplete,true,NA,true,0,20,NA,right,E1_Q7_ansL.png,E1_Q4_ansL.png,within,NA,NaN,NA,left,1077.3999999910593,0,1,2313.3999999910593
t53MoJEb,NA,NA,t53MoJEb,2020-0188,2021-11-15,17:27:21,18:59:23,NA,incomplete,true,NA,true,0,21,NA,left,E7_Q9_ansR.png,E7_Q2_ansL.png,within,NA,NaN,NA,right,11507.29999999702,0,1,3496.2999999970198
t53MoJEb,NA,NA,t53MoJEb,2020-0188,2021-11-15,17:27:21,18:59:23,NA,incomplete,true,NA,true,0,22,NA,right,E9_Q1_ansR.png,E9_Q3_ansL.png,within,NA,NaN,NA,left,1085.5,0,1,30611.40000000596
t53MoJEb,NA,NA,t53MoJEb,2020-0188,2021-11-15,17:27:21,18:59:23,NA,incomplete,true,NA,true,0,23,NA,right,E7_Q6_ansR.png,E9_Q4_ansL.png,between,NA,NaN,NA,left,2936.8999999910593,0,1,1579
t53MoJEb,NA,NA,t53MoJEb,2020-0188,2021-11-15,17:27:21,18:59:23,NA,incomplete,true,NA,true,0,24,NA,left,E9_Q1_ansR.png,E9_Q8_ansR.png,within,NA,NaN,NA,right,11607.5,0,1,2261.2000000029802
