workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,practice,encoding,memory,block,trial,event,stim,answer,label_left,label_right,left_image,right_image,condition,response,response_time,response_acc,order_response,order_response_time,order_acc,distance_response,distance_response_time
TZ34OsrE,NA,NA,TZ34OsrE,2020-0188,2021-11-02,16:07:31,17:35:52,NA,incomplete,true,true,NA,0,0,abstractness,c_1_021.jpg,right,abstract,concrete,NA,NA,NA,right,2164.30000001192,true,NA,NA,NA,NA,NA
TZ34OsrE,NA,NA,TZ34OsrE,2020-0188,2021-11-02,16:07:31,17:35:52,NA,incomplete,true,true,NA,0,1,abstractness,c_2_016.jpg,left,concrete,abstract,NA,NA,NA,left,2505,true,NA,NA,NA,NA,NA
TZ34OsrE,NA,NA,TZ34OsrE,2020-0188,2021-11-02,16:07:31,17:35:52,NA,incomplete,true,true,NA,0,2,abstractness,c_2_005.jpg,left,concrete,abstract,NA,NA,NA,left,1569.69999998808,true,NA,NA,NA,NA,NA
TZ34OsrE,NA,NA,TZ34OsrE,2020-0188,2021-11-02,16:07:31,17:35:52,NA,incomplete,true,true,NA,0,3,abstractness,c_1_012.jpg,right,abstract,concrete,NA,NA,NA,right,1058.09999996424,true,NA,NA,NA,NA,NA
TZ34OsrE,NA,NA,TZ34OsrE,2020-0188,2021-11-02,16:07:31,17:35:52,NA,incomplete,true,true,NA,0,4,abstractness,a_2_015.jpg,left,abstract,concrete,NA,NA,NA,left,1766,true,NA,NA,NA,NA,NA
TZ34OsrE,NA,NA,TZ34OsrE,2020-0188,2021-11-02,16:07:31,17:35:52,NA,incomplete,true,true,NA,0,5,syllable,a_1_001.jpg,right,1 syllable,2 syllables,NA,NA,NA,left,1633.69999998808,false,NA,NA,NA,NA,NA
TZ34OsrE,NA,NA,TZ34OsrE,2020-0188,2021-11-02,16:07:31,17:35:52,NA,incomplete,true,true,NA,0,6,syllable,c_1_003.jpg,right,1 syllable,2 syllables,NA,NA,NA,left,1485.5,false,NA,NA,NA,NA,NA
TZ34OsrE,NA,NA,TZ34OsrE,2020-0188,2021-11-02,16:07:31,17:35:52,NA,incomplete,true,true,NA,0,7,syllable,c_2_020.jpg,right,2 syllables,1 syllable,NA,NA,NA,left,979.599999964237,false,NA,NA,NA,NA,NA
TZ34OsrE,NA,NA,TZ34OsrE,2020-0188,2021-11-02,16:07:31,17:35:52,NA,incomplete,true,true,NA,0,8,syllable,a_2_009.jpg,right,2 syllables,1 syllable,NA,NA,NA,left,962.900000035763,false,NA,NA,NA,NA,NA
TZ34OsrE,NA,NA,TZ34OsrE,2020-0188,2021-11-02,16:07:31,17:35:52,NA,incomplete,true,true,NA,0,9,syllable,c_1_020.jpg,right,2 syllables,1 syllable,NA,NA,NA,right,1472.89999997616,true,NA,NA,NA,NA,NA
TZ34OsrE,NA,NA,TZ34OsrE,2020-0188,2021-11-02,16:07:31,17:35:52,NA,incomplete,true,true,NA,0,10,location,i_s_008.jpg,left,indoor,outdoor,NA,NA,NA,left,1510.70000004768,true,NA,NA,NA,NA,NA
