workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,practice,encoding,memory,block,trial,event,stim,answer,label_left,label_right,left_image,right_image,condition,response,response_time,response_acc,order_response,order_response_time,order_acc,distance_response,distance_response_time
Y7WKlvma,NA,NA,Y7WKlvma,2020-0188,2021-11-05,12:31:32,14:52:24,NA,incomplete,true,true,NA,0,0,abstractness,c_1_018.jpg,left,concrete,abstract,NA,NA,NA,left,1620.79999995232,true,NA,NA,NA,NA,NA
Y7WKlvma,NA,NA,Y7WKlvma,2020-0188,2021-11-05,12:31:32,14:52:24,NA,incomplete,true,true,NA,0,1,abstractness,a_1_013.jpg,right,concrete,abstract,NA,NA,NA,right,1038,true,NA,NA,NA,NA,NA
Y7WKlvma,NA,NA,Y7WKlvma,2020-0188,2021-11-05,12:31:32,14:52:24,NA,incomplete,true,true,NA,0,2,abstractness,c_2_026.jpg,left,concrete,abstract,NA,NA,NA,left,1133.09999990463,true,NA,NA,NA,NA,NA
Y7WKlvma,NA,NA,Y7WKlvma,2020-0188,2021-11-05,12:31:32,14:52:24,NA,incomplete,true,true,NA,0,3,abstractness,a_2_019.jpg,left,abstract,concrete,NA,NA,NA,left,1420.29999995232,true,NA,NA,NA,NA,NA
Y7WKlvma,NA,NA,Y7WKlvma,2020-0188,2021-11-05,12:31:32,14:52:24,NA,incomplete,true,true,NA,0,4,abstractness,c_1_021.jpg,right,abstract,concrete,NA,NA,NA,right,856,true,NA,NA,NA,NA,NA
Y7WKlvma,NA,NA,Y7WKlvma,2020-0188,2021-11-05,12:31:32,14:52:24,NA,incomplete,true,true,NA,0,5,syllable,a_2_005.jpg,right,1 syllable,2 syllables,NA,NA,NA,right,1464.09999990463,true,NA,NA,NA,NA,NA
Y7WKlvma,NA,NA,Y7WKlvma,2020-0188,2021-11-05,12:31:32,14:52:24,NA,incomplete,true,true,NA,0,6,syllable,c_1_001.jpg,right,1 syllable,2 syllables,NA,NA,NA,left,954.900000095367,false,NA,NA,NA,NA,NA
Y7WKlvma,NA,NA,Y7WKlvma,2020-0188,2021-11-05,12:31:32,14:52:24,NA,incomplete,true,true,NA,0,7,syllable,c_1_026.jpg,right,1 syllable,2 syllables,NA,NA,NA,left,737.5,false,NA,NA,NA,NA,NA
Y7WKlvma,NA,NA,Y7WKlvma,2020-0188,2021-11-05,12:31:32,14:52:24,NA,incomplete,true,true,NA,0,8,syllable,c_2_014.jpg,right,2 syllables,1 syllable,NA,NA,NA,left,1088.59999990463,false,NA,NA,NA,NA,NA
Y7WKlvma,NA,NA,Y7WKlvma,2020-0188,2021-11-05,12:31:32,14:52:24,NA,incomplete,true,true,NA,0,9,syllable,a_1_017.jpg,right,1 syllable,2 syllables,NA,NA,NA,left,812.299999952316,false,NA,NA,NA,NA,NA
Y7WKlvma,NA,NA,Y7WKlvma,2020-0188,2021-11-05,12:31:32,14:52:24,NA,incomplete,true,true,NA,0,10,location,i_s_024.jpg,right,outdoor,indoor,NA,NA,NA,right,1082.5,true,NA,NA,NA,NA,NA
Y7WKlvma,NA,NA,Y7WKlvma,2020-0188,2021-11-05,12:31:32,14:52:24,NA,incomplete,true,true,NA,0,11,location,o_s_015.jpg,left,outdoor,indoor,NA,NA,NA,left,1103.29999995232,true,NA,NA,NA,NA,NA
Y7WKlvma,NA,NA,Y7WKlvma,2020-0188,2021-11-05,12:31:32,14:52:24,NA,incomplete,true,true,NA,0,12,location,o_c_006.jpg,left,outdoor,indoor,NA,NA,NA,left,871.100000143051,true,NA,NA,NA,NA,NA
Y7WKlvma,NA,NA,Y7WKlvma,2020-0188,2021-11-05,12:31:32,14:52:24,NA,incomplete,true,true,NA,0,13,location,o_s_007.jpg,left,outdoor,indoor,NA,NA,NA,left,892.100000143051,true,NA,NA,NA,NA,NA
Y7WKlvma,NA,NA,Y7WKlvma,2020-0188,2021-11-05,12:31:32,14:52:24,NA,incomplete,true,true,NA,0,14,location,o_c_020.jpg,right,indoor,outdoor,NA,NA,NA,right,1954.60000014305,true,NA,NA,NA,NA,NA
Y7WKlvma,NA,NA,Y7WKlvma,2020-0188,2021-11-05,12:31:32,14:52:24,NA,incomplete,true,true,NA,0,15,building,o_c_028.jpg,right,skyscraper,cottage,NA,NA,NA,right,1968.20000004768,true,NA,NA,NA,NA,NA
Y7WKlvma,NA,NA,Y7WKlvma,2020-0188,2021-11-05,12:31:32,14:52:24,NA,incomplete,true,true,NA,0,16,building,i_c_012.jpg,right,skyscraper,cottage,NA,NA,NA,right,1321,true,NA,NA,NA,NA,NA
Y7WKlvma,NA,NA,Y7WKlvma,2020-0188,2021-11-05,12:31:32,14:52:24,NA,incomplete,true,true,NA,0,17,building,o_s_002.jpg,left,skyscraper,cottage,NA,NA,NA,left,914.399999856949,true,NA,NA,NA,NA,NA
Y7WKlvma,NA,NA,Y7WKlvma,2020-0188,2021-11-05,12:31:32,14:52:24,NA,incomplete,true,true,NA,0,18,building,o_c_013.jpg,right,skyscraper,cottage,NA,NA,NA,right,879.099999904633,true,NA,NA,NA,NA,NA
Y7WKlvma,NA,NA,Y7WKlvma,2020-0188,2021-11-05,12:31:32,14:52:24,NA,incomplete,true,true,NA,0,19,building,i_c_017.jpg,right,skyscraper,cottage,NA,NA,NA,right,964.900000095367,true,NA,NA,NA,NA,NA
Y7WKlvma,NA,NA,Y7WKlvma,2020-0188,2021-11-05,12:31:32,14:52:24,NA,incomplete,true,true,NA,0,20,size,m_l_020.jpg,right,small,large,NA,NA,NA,left,1001.20000004768,false,NA,NA,NA,NA,NA
Y7WKlvma,NA,NA,Y7WKlvma,2020-0188,2021-11-05,12:31:32,14:52:24,NA,incomplete,true,true,NA,0,21,size,m_s_004.jpg,right,large,small,NA,NA,NA,right,1011.5,true,NA,NA,NA,NA,NA
Y7WKlvma,NA,NA,Y7WKlvma,2020-0188,2021-11-05,12:31:32,14:52:24,NA,incomplete,true,true,NA,0,22,size,n_l_010.jpg,left,large,small,NA,NA,NA,left,825.199999809265,true,NA,NA,NA,NA,NA
Y7WKlvma,NA,NA,Y7WKlvma,2020-0188,2021-11-05,12:31:32,14:52:24,NA,incomplete,true,true,NA,0,23,size,m_l_014.jpg,right,small,large,NA,NA,NA,right,1029.09999990463,true,NA,NA,NA,NA,NA
Y7WKlvma,NA,NA,Y7WKlvma,2020-0188,2021-11-05,12:31:32,14:52:24,NA,incomplete,true,true,NA,0,24,size,m_l_007.jpg,right,small,large,NA,NA,NA,right,997.100000143051,true,NA,NA,NA,NA,NA
Y7WKlvma,NA,NA,Y7WKlvma,2020-0188,2021-11-05,12:31:32,14:52:24,NA,incomplete,true,true,NA,0,25,origin,n_l_018.jpg,right,manmade,natural,NA,NA,NA,right,1957.29999995232,true,NA,NA,NA,NA,NA
Y7WKlvma,NA,NA,Y7WKlvma,2020-0188,2021-11-05,12:31:32,14:52:24,NA,incomplete,true,true,NA,0,26,origin,n_l_025.jpg,left,natural,manmade,NA,NA,NA,right,1444.5,false,NA,NA,NA,NA,NA
Y7WKlvma,NA,NA,Y7WKlvma,2020-0188,2021-11-05,12:31:32,14:52:24,NA,incomplete,true,true,NA,0,27,origin,n_l_009.jpg,right,manmade,natural,NA,NA,NA,right,1795.40000009537,true,NA,NA,NA,NA,NA
Y7WKlvma,NA,NA,Y7WKlvma,2020-0188,2021-11-05,12:31:32,14:52:24,NA,incomplete,true,true,NA,0,28,origin,n_s_014.jpg,right,manmade,natural,NA,NA,NA,right,1865.29999995232,true,NA,NA,NA,NA,NA
Y7WKlvma,NA,NA,Y7WKlvma,2020-0188,2021-11-05,12:31:32,14:52:24,NA,incomplete,true,true,NA,0,29,origin,m_s_015.jpg,left,manmade,natural,NA,NA,NA,left,1309.09999990463,true,NA,NA,NA,NA,NA
Y7WKlvma,NA,NA,Y7WKlvma,2020-0188,2021-11-05,12:31:32,14:52:24,NA,incomplete,true,NA,true,0,0,NA,NA,right,NA,NA,i_s_024.jpg,c_1_026.jpg,between-big,NA,NaN,NA,right,4640.299999952316,1,2,4015.5
Y7WKlvma,NA,NA,Y7WKlvma,2020-0188,2021-11-05,12:31:32,14:52:24,NA,incomplete,true,NA,true,0,1,NA,NA,right,NA,NA,m_s_015.jpg,n_l_025.jpg,within,NA,NaN,NA,left,3152.7000000476837,0,2,2736.199999809265
Y7WKlvma,NA,NA,Y7WKlvma,2020-0188,2021-11-05,12:31:32,14:52:24,NA,incomplete,true,NA,true,0,2,NA,NA,right,NA,NA,n_s_014.jpg,n_l_018.jpg,within,NA,NaN,NA,left,13615.299999952316,0,1,1605
Y7WKlvma,NA,NA,Y7WKlvma,2020-0188,2021-11-05,12:31:32,14:52:24,NA,incomplete,true,NA,true,0,3,NA,NA,right,NA,NA,o_s_007.jpg,i_s_024.jpg,within,NA,NaN,NA,right,3040.9000000953674,1,0,2408.2999999523163
Y7WKlvma,NA,NA,Y7WKlvma,2020-0188,2021-11-05,12:31:32,14:52:24,NA,incomplete,true,NA,true,0,4,NA,NA,right,NA,NA,i_c_012.jpg,o_s_007.jpg,between-small,NA,NaN,NA,right,3997.800000190735,1,1,1606.7000000476837
Y7WKlvma,NA,NA,Y7WKlvma,2020-0188,2021-11-05,12:31:32,14:52:24,NA,incomplete,true,NA,true,0,5,NA,NA,right,NA,NA,m_s_004.jpg,o_c_013.jpg,between-big,NA,NaN,NA,left,3012,0,2,2625.4000000953674
Y7WKlvma,NA,NA,Y7WKlvma,2020-0188,2021-11-05,12:31:32,14:52:24,NA,incomplete,true,NA,true,0,6,NA,NA,right,NA,NA,a_2_005.jpg,c_2_026.jpg,between-small,NA,NaN,NA,left,3529.5,0,1,1559
Y7WKlvma,NA,NA,Y7WKlvma,2020-0188,2021-11-05,12:31:32,14:52:24,NA,incomplete,true,NA,true,0,7,NA,NA,left,NA,NA,c_1_001.jpg,a_1_017.jpg,within,NA,NaN,NA,left,2087.800000190735,1,1,1649.7999999523163
Y7WKlvma,NA,NA,Y7WKlvma,2020-0188,2021-11-05,12:31:32,14:52:24,NA,incomplete,true,NA,true,0,8,NA,NA,left,NA,NA,o_s_002.jpg,m_l_020.jpg,between-big,NA,NaN,NA,left,2353.9000000953674,1,2,2469.600000143051
