workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,practice,encoding,memory,block,trial,event,stim,answer,label_left,label_right,left_image,right_image,condition,response,response_time,response_acc,order_response,order_response_time,order_acc,distance_response,distance_response_time
nUAoRJz8,NA,NA,nUAoRJz8,2020-0188,2021-11-03,00:31:15,01:38:29,NA,incomplete,true,true,NA,0,0,location,o_c_002.jpg,right,indoor,outdoor,NA,NA,NA,right,1404.5,true,NA,NA,NA,NA,NA
nUAoRJz8,NA,NA,nUAoRJz8,2020-0188,2021-11-03,00:31:15,01:38:29,NA,incomplete,true,true,NA,0,1,location,o_s_026.jpg,right,indoor,outdoor,NA,NA,NA,right,2393.20000004768,true,NA,NA,NA,NA,NA
nUAoRJz8,NA,NA,nUAoRJz8,2020-0188,2021-11-03,00:31:15,01:38:29,NA,incomplete,true,true,NA,0,2,location,o_c_004.jpg,right,indoor,outdoor,NA,NA,NA,right,1630.79999995232,true,NA,NA,NA,NA,NA
nUAoRJz8,NA,NA,nUAoRJz8,2020-0188,2021-11-03,00:31:15,01:38:29,NA,incomplete,true,true,NA,0,3,location,i_c_019.jpg,left,indoor,outdoor,NA,NA,NA,left,1087,true,NA,NA,NA,NA,NA
nUAoRJz8,NA,NA,nUAoRJz8,2020-0188,2021-11-03,00:31:15,01:38:29,NA,incomplete,true,true,NA,0,4,location,i_c_026.jpg,left,indoor,outdoor,NA,NA,NA,left,1476.60000014305,true,NA,NA,NA,NA,NA
nUAoRJz8,NA,NA,nUAoRJz8,2020-0188,2021-11-03,00:31:15,01:38:29,NA,incomplete,true,true,NA,0,5,building,i_c_027.jpg,right,skyscraper,cottage,NA,NA,NA,right,1461.5,true,NA,NA,NA,NA,NA
nUAoRJz8,NA,NA,nUAoRJz8,2020-0188,2021-11-03,00:31:15,01:38:29,NA,incomplete,true,true,NA,0,6,building,i_c_010.jpg,left,cottage,skyscraper,NA,NA,NA,left,1377.10000014305,true,NA,NA,NA,NA,NA
nUAoRJz8,NA,NA,nUAoRJz8,2020-0188,2021-11-03,00:31:15,01:38:29,NA,incomplete,true,true,NA,0,7,building,o_s_021.jpg,left,skyscraper,cottage,NA,NA,NA,right,639.299999952316,false,NA,NA,NA,NA,NA
nUAoRJz8,NA,NA,nUAoRJz8,2020-0188,2021-11-03,00:31:15,01:38:29,NA,incomplete,true,true,NA,0,8,building,i_c_009.jpg,left,cottage,skyscraper,NA,NA,NA,left,1118,true,NA,NA,NA,NA,NA
nUAoRJz8,NA,NA,nUAoRJz8,2020-0188,2021-11-03,00:31:15,01:38:29,NA,incomplete,true,true,NA,0,9,building,o_s_012.jpg,right,cottage,skyscraper,NA,NA,NA,right,980.400000095367,true,NA,NA,NA,NA,NA
nUAoRJz8,NA,NA,nUAoRJz8,2020-0188,2021-11-03,00:31:15,01:38:29,NA,incomplete,true,true,NA,0,10,syllable,a_2_006.jpg,right,1 syllable,2 syllables,NA,NA,NA,right,1440.80000019073,true,NA,NA,NA,NA,NA
nUAoRJz8,NA,NA,nUAoRJz8,2020-0188,2021-11-03,00:31:15,01:38:29,NA,incomplete,true,true,NA,0,11,syllable,c_1_017.jpg,right,2 syllables,1 syllable,NA,NA,NA,right,1261.29999995232,true,NA,NA,NA,NA,NA
