workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,practice,encoding,memory,block,trial,event,stim,answer,label_left,label_right,left_image,right_image,condition,response,response_time,response_acc,order_response,order_response_time,order_acc,distance_response,distance_response_time
sYyD0vbc,NA,NA,sYyD0vbc,2020-0188,2021-10-04,19:09:01,20:20:25,NA,incomplete,true,true,NA,0,0,size,n_l_025.jpg,right,small,large,NA,NA,NA,right,1250.29999998212,true,NA,NA,NA,NA,NA
sYyD0vbc,NA,NA,sYyD0vbc,2020-0188,2021-10-04,19:09:01,20:20:25,NA,incomplete,true,true,NA,0,1,size,m_s_001.jpg,right,large,small,NA,NA,NA,right,1372.60000002384,true,NA,NA,NA,NA,NA
sYyD0vbc,NA,NA,sYyD0vbc,2020-0188,2021-10-04,19:09:01,20:20:25,NA,incomplete,true,true,NA,0,2,size,m_s_028.jpg,left,small,large,NA,NA,NA,left,2043,true,NA,NA,NA,NA,NA
sYyD0vbc,NA,NA,sYyD0vbc,2020-0188,2021-10-04,19:09:01,20:20:25,NA,incomplete,true,true,NA,0,3,size,n_l_010.jpg,right,small,large,NA,NA,NA,right,1244,true,NA,NA,NA,NA,NA
sYyD0vbc,NA,NA,sYyD0vbc,2020-0188,2021-10-04,19:09:01,20:20:25,NA,incomplete,true,true,NA,0,4,size,n_s_025.jpg,left,small,large,NA,NA,NA,left,873.200000017881,true,NA,NA,NA,NA,NA
sYyD0vbc,NA,NA,sYyD0vbc,2020-0188,2021-10-04,19:09:01,20:20:25,NA,incomplete,true,true,NA,0,5,origin,n_l_014.jpg,left,natural,manmade,NA,NA,NA,left,1421.19999998808,true,NA,NA,NA,NA,NA
sYyD0vbc,NA,NA,sYyD0vbc,2020-0188,2021-10-04,19:09:01,20:20:25,NA,incomplete,true,true,NA,0,6,origin,m_s_013.jpg,left,manmade,natural,NA,NA,NA,none,0,false,NA,NA,NA,NA,NA
sYyD0vbc,NA,NA,sYyD0vbc,2020-0188,2021-10-04,19:09:01,20:20:25,NA,incomplete,true,true,NA,0,7,origin,m_s_011.jpg,right,natural,manmade,NA,NA,NA,right,1629.30000001192,true,NA,NA,NA,NA,NA
sYyD0vbc,NA,NA,sYyD0vbc,2020-0188,2021-10-04,19:09:01,20:20:25,NA,incomplete,true,true,NA,0,8,origin,m_s_017.jpg,left,manmade,natural,NA,NA,NA,right,1932.29999998212,false,NA,NA,NA,NA,NA
sYyD0vbc,NA,NA,sYyD0vbc,2020-0188,2021-10-04,19:09:01,20:20:25,NA,incomplete,true,true,NA,0,9,origin,n_s_027.jpg,left,natural,manmade,NA,NA,NA,left,1206.90000000596,true,NA,NA,NA,NA,NA
sYyD0vbc,NA,NA,sYyD0vbc,2020-0188,2021-10-04,19:09:01,20:20:25,NA,incomplete,true,true,NA,0,10,building,o_c_006.jpg,left,cottage,skyscraper,NA,NA,NA,left,3289.5,true,NA,NA,NA,NA,NA
sYyD0vbc,NA,NA,sYyD0vbc,2020-0188,2021-10-04,19:09:01,20:20:25,NA,incomplete,true,true,NA,0,11,building,i_s_002.jpg,right,cottage,skyscraper,NA,NA,NA,right,1517.80000001192,true,NA,NA,NA,NA,NA
sYyD0vbc,NA,NA,sYyD0vbc,2020-0188,2021-10-04,19:09:01,20:20:25,NA,incomplete,true,true,NA,0,12,building,o_s_012.jpg,right,cottage,skyscraper,NA,NA,NA,right,1227.90000000596,true,NA,NA,NA,NA,NA
sYyD0vbc,NA,NA,sYyD0vbc,2020-0188,2021-10-04,19:09:01,20:20:25,NA,incomplete,true,true,NA,0,13,building,o_c_028.jpg,left,cottage,skyscraper,NA,NA,NA,left,871.5,true,NA,NA,NA,NA,NA
sYyD0vbc,NA,NA,sYyD0vbc,2020-0188,2021-10-04,19:09:01,20:20:25,NA,incomplete,true,true,NA,0,14,building,i_c_003.jpg,left,cottage,skyscraper,NA,NA,NA,left,834.5,true,NA,NA,NA,NA,NA
sYyD0vbc,NA,NA,sYyD0vbc,2020-0188,2021-10-04,19:09:01,20:20:25,NA,incomplete,true,true,NA,0,15,location,o_c_014.jpg,left,outdoor,indoor,NA,NA,NA,left,1873.59999999404,true,NA,NA,NA,NA,NA
