workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,practice,encoding,memory,block,trial,event,stim,answer,label_left,label_right,left_image,right_image,condition,response,response_time,response_acc,order_response,order_response_time,order_acc,distance_response,distance_response_time
xWv5ZHT3,NA,NA,xWv5ZHT3,2020-0188,2021-09-26,11:25:27,13:06:37,NA,incomplete,true,true,NA,0,0,origin,n_s_008.jpg,right,manmade,natural,NA,NA,NA,right,2984.39999961853,true,NA,NA,NA,NA,NA
xWv5ZHT3,NA,NA,xWv5ZHT3,2020-0188,2021-09-26,11:25:27,13:06:37,NA,incomplete,true,true,NA,0,1,origin,m_s_004.jpg,right,natural,manmade,NA,NA,NA,right,2228.80000019073,true,NA,NA,NA,NA,NA
xWv5ZHT3,NA,NA,xWv5ZHT3,2020-0188,2021-09-26,11:25:27,13:06:37,NA,incomplete,true,true,NA,0,2,origin,m_s_001.jpg,right,natural,manmade,NA,NA,NA,right,2653.80000019073,true,NA,NA,NA,NA,NA
xWv5ZHT3,NA,NA,xWv5ZHT3,2020-0188,2021-09-26,11:25:27,13:06:37,NA,incomplete,true,true,NA,0,3,origin,m_s_012.jpg,right,natural,manmade,NA,NA,NA,right,1379,true,NA,NA,NA,NA,NA
xWv5ZHT3,NA,NA,xWv5ZHT3,2020-0188,2021-09-26,11:25:27,13:06:37,NA,incomplete,true,true,NA,0,4,origin,n_s_013.jpg,left,natural,manmade,NA,NA,NA,left,2184.80000019073,true,NA,NA,NA,NA,NA
xWv5ZHT3,NA,NA,xWv5ZHT3,2020-0188,2021-09-26,11:25:27,13:06:37,NA,incomplete,true,true,NA,0,5,size,m_s_015.jpg,right,large,small,NA,NA,NA,right,2693.69999980927,true,NA,NA,NA,NA,NA
xWv5ZHT3,NA,NA,xWv5ZHT3,2020-0188,2021-09-26,11:25:27,13:06:37,NA,incomplete,true,true,NA,0,6,size,n_l_022.jpg,right,small,large,NA,NA,NA,right,2605.89999961853,true,NA,NA,NA,NA,NA
xWv5ZHT3,NA,NA,xWv5ZHT3,2020-0188,2021-09-26,11:25:27,13:06:37,NA,incomplete,true,true,NA,0,7,size,m_l_002.jpg,left,large,small,NA,NA,NA,right,2042.60000038147,false,NA,NA,NA,NA,NA
xWv5ZHT3,NA,NA,xWv5ZHT3,2020-0188,2021-09-26,11:25:27,13:06:37,NA,incomplete,true,true,NA,0,8,size,n_s_019.jpg,right,large,small,NA,NA,NA,left,1503.0999994278,false,NA,NA,NA,NA,NA
xWv5ZHT3,NA,NA,xWv5ZHT3,2020-0188,2021-09-26,11:25:27,13:06:37,NA,incomplete,true,true,NA,0,9,size,n_s_016.jpg,right,large,small,NA,NA,NA,right,1965.69999980927,true,NA,NA,NA,NA,NA
xWv5ZHT3,NA,NA,xWv5ZHT3,2020-0188,2021-09-26,11:25:27,13:06:37,NA,incomplete,true,true,NA,0,10,abstractness,a_1_021.jpg,right,concrete,abstract,NA,NA,NA,right,2649.19999980927,true,NA,NA,NA,NA,NA
xWv5ZHT3,NA,NA,xWv5ZHT3,2020-0188,2021-09-26,11:25:27,13:06:37,NA,incomplete,true,true,NA,0,11,abstractness,c_2_024.jpg,left,concrete,abstract,NA,NA,NA,left,2616.69999980927,true,NA,NA,NA,NA,NA
xWv5ZHT3,NA,NA,xWv5ZHT3,2020-0188,2021-09-26,11:25:27,13:06:37,NA,incomplete,true,true,NA,0,12,abstractness,c_1_015.jpg,right,abstract,concrete,NA,NA,NA,right,2204.69999980927,true,NA,NA,NA,NA,NA
xWv5ZHT3,NA,NA,xWv5ZHT3,2020-0188,2021-09-26,11:25:27,13:06:37,NA,incomplete,true,true,NA,0,13,abstractness,c_1_019.jpg,left,concrete,abstract,NA,NA,NA,left,1562.70000076294,true,NA,NA,NA,NA,NA
xWv5ZHT3,NA,NA,xWv5ZHT3,2020-0188,2021-09-26,11:25:27,13:06:37,NA,incomplete,true,true,NA,0,14,abstractness,a_1_013.jpg,left,abstract,concrete,NA,NA,NA,left,2642.80000019073,true,NA,NA,NA,NA,NA
xWv5ZHT3,NA,NA,xWv5ZHT3,2020-0188,2021-09-26,11:25:27,13:06:37,NA,incomplete,true,true,NA,0,15,syllable,c_2_018.jpg,right,2 syllables,1 syllable,NA,NA,NA,right,1823.5999994278,true,NA,NA,NA,NA,NA
xWv5ZHT3,NA,NA,xWv5ZHT3,2020-0188,2021-09-26,11:25:27,13:06:37,NA,incomplete,true,true,NA,0,16,syllable,c_2_007.jpg,right,2 syllables,1 syllable,NA,NA,NA,left,2016.10000038147,false,NA,NA,NA,NA,NA
xWv5ZHT3,NA,NA,xWv5ZHT3,2020-0188,2021-09-26,11:25:27,13:06:37,NA,incomplete,true,true,NA,0,17,syllable,a_2_013.jpg,right,2 syllables,1 syllable,NA,NA,NA,left,3096.29999923706,false,NA,NA,NA,NA,NA
xWv5ZHT3,NA,NA,xWv5ZHT3,2020-0188,2021-09-26,11:25:27,13:06:37,NA,incomplete,true,true,NA,0,18,syllable,a_1_008.jpg,right,2 syllables,1 syllable,NA,NA,NA,right,1715.39999961853,true,NA,NA,NA,NA,NA
xWv5ZHT3,NA,NA,xWv5ZHT3,2020-0188,2021-09-26,11:25:27,13:06:37,NA,incomplete,true,true,NA,0,19,syllable,a_2_019.jpg,right,2 syllables,1 syllable,NA,NA,NA,right,1284.5,true,NA,NA,NA,NA,NA
xWv5ZHT3,NA,NA,xWv5ZHT3,2020-0188,2021-09-26,11:25:27,13:06:37,NA,incomplete,true,true,NA,0,20,building,i_s_003.jpg,right,cottage,skyscraper,NA,NA,NA,right,1776.5,true,NA,NA,NA,NA,NA
xWv5ZHT3,NA,NA,xWv5ZHT3,2020-0188,2021-09-26,11:25:27,13:06:37,NA,incomplete,true,true,NA,0,21,building,i_s_001.jpg,right,cottage,skyscraper,NA,NA,NA,right,1621.10000038147,true,NA,NA,NA,NA,NA
