workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,practice,encoding,memory,block,trial,event_order,event,stim,answer,context_type,label_left,label_right,left_image,left_event,right_image,right_event,condition,response,response_time,response_acc,order_response,order_response_time,order_acc,distance_response,distance_response_time
D9MPYSbr,344m16ozllsw98pkhqhl4zt7rn1nev,3hwrjooet9fvc5fjgo39sdz5g4yesg,D9MPYSbr,2020-0188,2021-10-15,11:55:01,13:02:20,NA,incomplete,true,true,NA,0,0,NA,orange,m_s_031.jpg,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,left,1741.70000000298,true,NA,NA,NA,NA,NA
D9MPYSbr,344m16ozllsw98pkhqhl4zt7rn1nev,3hwrjooet9fvc5fjgo39sdz5g4yesg,D9MPYSbr,2020-0188,2021-10-15,11:55:01,13:02:20,NA,incomplete,true,true,NA,0,1,NA,orange,m_l_082.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,881.20000000298,true,NA,NA,NA,NA,NA
D9MPYSbr,344m16ozllsw98pkhqhl4zt7rn1nev,3hwrjooet9fvc5fjgo39sdz5g4yesg,D9MPYSbr,2020-0188,2021-10-15,11:55:01,13:02:20,NA,incomplete,true,true,NA,0,2,NA,orange,n_s_060.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1617.29999999702,true,NA,NA,NA,NA,NA
D9MPYSbr,344m16ozllsw98pkhqhl4zt7rn1nev,3hwrjooet9fvc5fjgo39sdz5g4yesg,D9MPYSbr,2020-0188,2021-10-15,11:55:01,13:02:20,NA,incomplete,true,true,NA,0,3,NA,orange,m_l_037.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,right,1183.09999999404,true,NA,NA,NA,NA,NA
D9MPYSbr,344m16ozllsw98pkhqhl4zt7rn1nev,3hwrjooet9fvc5fjgo39sdz5g4yesg,D9MPYSbr,2020-0188,2021-10-15,11:55:01,13:02:20,NA,incomplete,true,true,NA,0,4,NA,orange,n_s_025.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1509.5,true,NA,NA,NA,NA,NA
D9MPYSbr,344m16ozllsw98pkhqhl4zt7rn1nev,3hwrjooet9fvc5fjgo39sdz5g4yesg,D9MPYSbr,2020-0188,2021-10-15,11:55:01,13:02:20,NA,incomplete,true,true,NA,0,5,NA,orange,m_s_034.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,right,1015,true,NA,NA,NA,NA,NA
D9MPYSbr,344m16ozllsw98pkhqhl4zt7rn1nev,3hwrjooet9fvc5fjgo39sdz5g4yesg,D9MPYSbr,2020-0188,2021-10-15,11:55:01,13:02:20,NA,incomplete,true,true,NA,0,6,NA,purple,n_s_023.jpg,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,left,1970.29999999702,true,NA,NA,NA,NA,NA
D9MPYSbr,344m16ozllsw98pkhqhl4zt7rn1nev,3hwrjooet9fvc5fjgo39sdz5g4yesg,D9MPYSbr,2020-0188,2021-10-15,11:55:01,13:02:20,NA,incomplete,true,true,NA,0,7,NA,purple,m_s_106.jpg,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,right,1694.09999999404,true,NA,NA,NA,NA,NA
D9MPYSbr,344m16ozllsw98pkhqhl4zt7rn1nev,3hwrjooet9fvc5fjgo39sdz5g4yesg,D9MPYSbr,2020-0188,2021-10-15,11:55:01,13:02:20,NA,incomplete,true,true,NA,0,8,NA,purple,n_s_010.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,right,1798.90000000596,true,NA,NA,NA,NA,NA
D9MPYSbr,344m16ozllsw98pkhqhl4zt7rn1nev,3hwrjooet9fvc5fjgo39sdz5g4yesg,D9MPYSbr,2020-0188,2021-10-15,11:55:01,13:02:20,NA,incomplete,true,true,NA,0,9,NA,purple,n_l_068.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1663.79999999702,true,NA,NA,NA,NA,NA
D9MPYSbr,344m16ozllsw98pkhqhl4zt7rn1nev,3hwrjooet9fvc5fjgo39sdz5g4yesg,D9MPYSbr,2020-0188,2021-10-15,11:55:01,13:02:20,NA,incomplete,true,true,NA,0,10,NA,purple,m_s_097.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,right,1616.90000000596,true,NA,NA,NA,NA,NA
D9MPYSbr,344m16ozllsw98pkhqhl4zt7rn1nev,3hwrjooet9fvc5fjgo39sdz5g4yesg,D9MPYSbr,2020-0188,2021-10-15,11:55:01,13:02:20,NA,incomplete,true,true,NA,0,11,NA,purple,n_l_049.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1192.10000000894,true,NA,NA,NA,NA,NA
