workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,practice,encoding,memory,block,trial,event_order,event,stim,answer,context_type,label_left,label_right,left_image,left_event,right_image,right_event,condition,response,response_time,response_acc,order_response,order_response_time,order_acc,distance_response,distance_response_time
H5MhNoDh,33tgb4g0msu3alll9rtp1nk6wbyxtf,3z7vu45ip2uttg7lzs22hmdeec31z2,H5MhNoDh,2020-0188,2021-10-15,16:03:29,17:33:27,NA,incomplete,true,true,NA,0,0,NA,black,n_s_001.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1872.90000000596,true,NA,NA,NA,NA,NA
H5MhNoDh,33tgb4g0msu3alll9rtp1nk6wbyxtf,3z7vu45ip2uttg7lzs22hmdeec31z2,H5MhNoDh,2020-0188,2021-10-15,16:03:29,17:33:27,NA,incomplete,true,true,NA,0,1,NA,black,n_s_089.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1991.29999999702,true,NA,NA,NA,NA,NA
H5MhNoDh,33tgb4g0msu3alll9rtp1nk6wbyxtf,3z7vu45ip2uttg7lzs22hmdeec31z2,H5MhNoDh,2020-0188,2021-10-15,16:03:29,17:33:27,NA,incomplete,true,true,NA,0,2,NA,black,n_l_050.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,right,1453,true,NA,NA,NA,NA,NA
H5MhNoDh,33tgb4g0msu3alll9rtp1nk6wbyxtf,3z7vu45ip2uttg7lzs22hmdeec31z2,H5MhNoDh,2020-0188,2021-10-15,16:03:29,17:33:27,NA,incomplete,true,true,NA,0,3,NA,black,m_s_017.jpg,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,right,2389.89999999106,true,NA,NA,NA,NA,NA
H5MhNoDh,33tgb4g0msu3alll9rtp1nk6wbyxtf,3z7vu45ip2uttg7lzs22hmdeec31z2,H5MhNoDh,2020-0188,2021-10-15,16:03:29,17:33:27,NA,incomplete,true,true,NA,0,4,NA,black,m_s_013.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,right,1931.5,true,NA,NA,NA,NA,NA
H5MhNoDh,33tgb4g0msu3alll9rtp1nk6wbyxtf,3z7vu45ip2uttg7lzs22hmdeec31z2,H5MhNoDh,2020-0188,2021-10-15,16:03:29,17:33:27,NA,incomplete,true,true,NA,0,5,NA,black,n_l_099.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,right,1531.89999999106,true,NA,NA,NA,NA,NA
H5MhNoDh,33tgb4g0msu3alll9rtp1nk6wbyxtf,3z7vu45ip2uttg7lzs22hmdeec31z2,H5MhNoDh,2020-0188,2021-10-15,16:03:29,17:33:27,NA,incomplete,true,true,NA,0,6,NA,gray,m_l_043.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1598.90000000596,true,NA,NA,NA,NA,NA
H5MhNoDh,33tgb4g0msu3alll9rtp1nk6wbyxtf,3z7vu45ip2uttg7lzs22hmdeec31z2,H5MhNoDh,2020-0188,2021-10-15,16:03:29,17:33:27,NA,incomplete,true,true,NA,0,7,NA,gray,n_s_064.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1308.10000000894,true,NA,NA,NA,NA,NA
H5MhNoDh,33tgb4g0msu3alll9rtp1nk6wbyxtf,3z7vu45ip2uttg7lzs22hmdeec31z2,H5MhNoDh,2020-0188,2021-10-15,16:03:29,17:33:27,NA,incomplete,true,true,NA,0,8,NA,gray,n_l_046.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1156.20000000298,true,NA,NA,NA,NA,NA
H5MhNoDh,33tgb4g0msu3alll9rtp1nk6wbyxtf,3z7vu45ip2uttg7lzs22hmdeec31z2,H5MhNoDh,2020-0188,2021-10-15,16:03:29,17:33:27,NA,incomplete,true,true,NA,0,9,NA,gray,m_s_043.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,right,1341.30000001192,true,NA,NA,NA,NA,NA
