workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,practice,encoding,memory,block,trial,event_order,event,stim,answer,context_type,label_left,label_right,left_image,left_event,right_image,right_event,condition,response,response_time,response_acc,order_response,order_response_time,order_acc,distance_response,distance_response_time
PQwvegSM,3o4vwc1gfzjxgki2d88xs18tr9fj3v,3aajc4i4fk50oxnpph88lm908mozjb,PQwvegSM,2020-0188,2021-10-14,09:55:42,12:07:24,NA,incomplete,true,true,NA,0,0,NA,brown,m_s_065.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,right,2058.90000009537,true,NA,NA,NA,NA,NA
PQwvegSM,3o4vwc1gfzjxgki2d88xs18tr9fj3v,3aajc4i4fk50oxnpph88lm908mozjb,PQwvegSM,2020-0188,2021-10-14,09:55:42,12:07:24,NA,incomplete,true,true,NA,0,1,NA,brown,m_l_012.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,right,1439.30000019073,true,NA,NA,NA,NA,NA
PQwvegSM,3o4vwc1gfzjxgki2d88xs18tr9fj3v,3aajc4i4fk50oxnpph88lm908mozjb,PQwvegSM,2020-0188,2021-10-14,09:55:42,12:07:24,NA,incomplete,true,true,NA,0,2,NA,brown,n_l_029.jpg,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,right,810.899999856949,true,NA,NA,NA,NA,NA
PQwvegSM,3o4vwc1gfzjxgki2d88xs18tr9fj3v,3aajc4i4fk50oxnpph88lm908mozjb,PQwvegSM,2020-0188,2021-10-14,09:55:42,12:07:24,NA,incomplete,true,true,NA,0,3,NA,brown,n_s_105.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,right,2971.29999995232,true,NA,NA,NA,NA,NA
PQwvegSM,3o4vwc1gfzjxgki2d88xs18tr9fj3v,3aajc4i4fk50oxnpph88lm908mozjb,PQwvegSM,2020-0188,2021-10-14,09:55:42,12:07:24,NA,incomplete,true,true,NA,0,4,NA,brown,m_l_060.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,right,1932.40000009537,true,NA,NA,NA,NA,NA
PQwvegSM,3o4vwc1gfzjxgki2d88xs18tr9fj3v,3aajc4i4fk50oxnpph88lm908mozjb,PQwvegSM,2020-0188,2021-10-14,09:55:42,12:07:24,NA,incomplete,true,true,NA,0,5,NA,brown,n_l_013.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,right,1065.69999980927,true,NA,NA,NA,NA,NA
PQwvegSM,3o4vwc1gfzjxgki2d88xs18tr9fj3v,3aajc4i4fk50oxnpph88lm908mozjb,PQwvegSM,2020-0188,2021-10-14,09:55:42,12:07:24,NA,incomplete,true,true,NA,0,6,NA,black,m_l_075.jpg,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,none,0,false,NA,NA,NA,NA,NA
PQwvegSM,3o4vwc1gfzjxgki2d88xs18tr9fj3v,3aajc4i4fk50oxnpph88lm908mozjb,PQwvegSM,2020-0188,2021-10-14,09:55:42,12:07:24,NA,incomplete,true,true,NA,0,7,NA,black,m_s_116.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,right,2219.70000004768,true,NA,NA,NA,NA,NA
PQwvegSM,3o4vwc1gfzjxgki2d88xs18tr9fj3v,3aajc4i4fk50oxnpph88lm908mozjb,PQwvegSM,2020-0188,2021-10-14,09:55:42,12:07:24,NA,incomplete,true,true,NA,0,8,NA,black,m_l_116.jpg,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,right,1419.40000009537,true,NA,NA,NA,NA,NA
PQwvegSM,3o4vwc1gfzjxgki2d88xs18tr9fj3v,3aajc4i4fk50oxnpph88lm908mozjb,PQwvegSM,2020-0188,2021-10-14,09:55:42,12:07:24,NA,incomplete,true,true,NA,0,9,NA,black,n_l_095.jpg,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,right,1688.69999980927,true,NA,NA,NA,NA,NA
PQwvegSM,3o4vwc1gfzjxgki2d88xs18tr9fj3v,3aajc4i4fk50oxnpph88lm908mozjb,PQwvegSM,2020-0188,2021-10-14,09:55:42,12:07:24,NA,incomplete,true,true,NA,0,10,NA,black,n_l_028.jpg,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,right,1236.20000004768,true,NA,NA,NA,NA,NA
PQwvegSM,3o4vwc1gfzjxgki2d88xs18tr9fj3v,3aajc4i4fk50oxnpph88lm908mozjb,PQwvegSM,2020-0188,2021-10-14,09:55:42,12:07:24,NA,incomplete,true,true,NA,0,11,NA,black,m_l_023.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,none,0,false,NA,NA,NA,NA,NA
PQwvegSM,3o4vwc1gfzjxgki2d88xs18tr9fj3v,3aajc4i4fk50oxnpph88lm908mozjb,PQwvegSM,2020-0188,2021-10-14,09:55:42,12:07:24,NA,incomplete,true,true,NA,0,12,NA,orange,m_s_092.jpg,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,none,0,false,NA,NA,NA,NA,NA
PQwvegSM,3o4vwc1gfzjxgki2d88xs18tr9fj3v,3aajc4i4fk50oxnpph88lm908mozjb,PQwvegSM,2020-0188,2021-10-14,09:55:42,12:07:24,NA,incomplete,true,true,NA,0,13,NA,orange,n_l_055.jpg,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,left,105.599999904633,true,NA,NA,NA,NA,NA
PQwvegSM,3o4vwc1gfzjxgki2d88xs18tr9fj3v,3aajc4i4fk50oxnpph88lm908mozjb,PQwvegSM,2020-0188,2021-10-14,09:55:42,12:07:24,NA,incomplete,true,true,NA,0,14,NA,orange,m_s_014.jpg,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,left,845.099999904633,true,NA,NA,NA,NA,NA
PQwvegSM,3o4vwc1gfzjxgki2d88xs18tr9fj3v,3aajc4i4fk50oxnpph88lm908mozjb,PQwvegSM,2020-0188,2021-10-14,09:55:42,12:07:24,NA,incomplete,true,true,NA,0,15,NA,orange,m_s_073.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1032,true,NA,NA,NA,NA,NA
PQwvegSM,3o4vwc1gfzjxgki2d88xs18tr9fj3v,3aajc4i4fk50oxnpph88lm908mozjb,PQwvegSM,2020-0188,2021-10-14,09:55:42,12:07:24,NA,incomplete,true,true,NA,0,16,NA,orange,m_s_056.jpg,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,none,0,false,NA,NA,NA,NA,NA
PQwvegSM,3o4vwc1gfzjxgki2d88xs18tr9fj3v,3aajc4i4fk50oxnpph88lm908mozjb,PQwvegSM,2020-0188,2021-10-14,09:55:42,12:07:24,NA,incomplete,true,true,NA,0,17,NA,orange,n_l_066.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,none,0,false,NA,NA,NA,NA,NA
