workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,practice,encoding,memory,block,trial,event_order,event,stim,answer,context_type,label_left,label_right,left_image,left_event,right_image,right_event,condition,response,response_time,response_acc,order_response,order_response_time,order_acc,distance_response,distance_response_time
RVyVmoTu,3r0wocg22pm4csvtiwincc3gz22duj,3c8hj7uopb7qp5tasel01e1hcgjzmf,RVyVmoTu,2020-0188,2021-10-14,15:24:01,16:33:37,NA,incomplete,true,true,NA,0,0,NA,black,m_l_063.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,right,1415.60000002384,true,NA,NA,NA,NA,NA
RVyVmoTu,3r0wocg22pm4csvtiwincc3gz22duj,3c8hj7uopb7qp5tasel01e1hcgjzmf,RVyVmoTu,2020-0188,2021-10-14,15:24:01,16:33:37,NA,incomplete,true,true,NA,0,1,NA,black,m_l_072.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1667.79999995232,true,NA,NA,NA,NA,NA
RVyVmoTu,3r0wocg22pm4csvtiwincc3gz22duj,3c8hj7uopb7qp5tasel01e1hcgjzmf,RVyVmoTu,2020-0188,2021-10-14,15:24:01,16:33:37,NA,incomplete,true,true,NA,0,2,NA,black,n_s_023.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,right,1720.10000002384,true,NA,NA,NA,NA,NA
RVyVmoTu,3r0wocg22pm4csvtiwincc3gz22duj,3c8hj7uopb7qp5tasel01e1hcgjzmf,RVyVmoTu,2020-0188,2021-10-14,15:24:01,16:33:37,NA,incomplete,true,true,NA,0,3,NA,black,m_l_112.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1515.80000007153,true,NA,NA,NA,NA,NA
RVyVmoTu,3r0wocg22pm4csvtiwincc3gz22duj,3c8hj7uopb7qp5tasel01e1hcgjzmf,RVyVmoTu,2020-0188,2021-10-14,15:24:01,16:33:37,NA,incomplete,true,true,NA,0,4,NA,black,n_s_013.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,2000.20000004768,true,NA,NA,NA,NA,NA
RVyVmoTu,3r0wocg22pm4csvtiwincc3gz22duj,3c8hj7uopb7qp5tasel01e1hcgjzmf,RVyVmoTu,2020-0188,2021-10-14,15:24:01,16:33:37,NA,incomplete,true,true,NA,0,5,NA,black,n_s_045.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,right,1732.19999992847,true,NA,NA,NA,NA,NA
RVyVmoTu,3r0wocg22pm4csvtiwincc3gz22duj,3c8hj7uopb7qp5tasel01e1hcgjzmf,RVyVmoTu,2020-0188,2021-10-14,15:24:01,16:33:37,NA,incomplete,true,true,NA,0,6,NA,green,n_l_115.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1928.70000004768,true,NA,NA,NA,NA,NA
RVyVmoTu,3r0wocg22pm4csvtiwincc3gz22duj,3c8hj7uopb7qp5tasel01e1hcgjzmf,RVyVmoTu,2020-0188,2021-10-14,15:24:01,16:33:37,NA,incomplete,true,true,NA,0,7,NA,green,m_s_046.jpg,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,left,1244.89999997616,true,NA,NA,NA,NA,NA
RVyVmoTu,3r0wocg22pm4csvtiwincc3gz22duj,3c8hj7uopb7qp5tasel01e1hcgjzmf,RVyVmoTu,2020-0188,2021-10-14,15:24:01,16:33:37,NA,incomplete,true,true,NA,0,8,NA,green,m_l_073.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1922,true,NA,NA,NA,NA,NA
RVyVmoTu,3r0wocg22pm4csvtiwincc3gz22duj,3c8hj7uopb7qp5tasel01e1hcgjzmf,RVyVmoTu,2020-0188,2021-10-14,15:24:01,16:33:37,NA,incomplete,true,true,NA,0,9,NA,green,m_l_087.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1845.70000004768,true,NA,NA,NA,NA,NA
