workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,practice,encoding,memory,block,trial,event_order,event,stim,answer,context_type,label_left,label_right,left_image,left_event,right_image,right_event,condition,response,response_time,response_acc,order_response,order_response_time,order_acc,distance_response,distance_response_time
Uid2yFes,322zsn9z6jxccjxbpgrk4cn83gtt4w,3qemnnsb21c411hrwquer4lote67df,Uid2yFes,2020-0188,2021-10-15,11:17:41,12:24:19,NA,incomplete,true,true,NA,0,0,NA,purple,n_s_108.jpg,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,left,1332.20000004768,true,NA,NA,NA,NA,NA
Uid2yFes,322zsn9z6jxccjxbpgrk4cn83gtt4w,3qemnnsb21c411hrwquer4lote67df,Uid2yFes,2020-0188,2021-10-15,11:17:41,12:24:19,NA,incomplete,true,true,NA,0,1,NA,purple,n_l_052.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,2107.70000004768,true,NA,NA,NA,NA,NA
Uid2yFes,322zsn9z6jxccjxbpgrk4cn83gtt4w,3qemnnsb21c411hrwquer4lote67df,Uid2yFes,2020-0188,2021-10-15,11:17:41,12:24:19,NA,incomplete,true,true,NA,0,2,NA,purple,n_l_100.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1428.79999995232,true,NA,NA,NA,NA,NA
Uid2yFes,322zsn9z6jxccjxbpgrk4cn83gtt4w,3qemnnsb21c411hrwquer4lote67df,Uid2yFes,2020-0188,2021-10-15,11:17:41,12:24:19,NA,incomplete,true,true,NA,0,3,NA,purple,n_s_015.jpg,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,left,1279.70000004768,true,NA,NA,NA,NA,NA
Uid2yFes,322zsn9z6jxccjxbpgrk4cn83gtt4w,3qemnnsb21c411hrwquer4lote67df,Uid2yFes,2020-0188,2021-10-15,11:17:41,12:24:19,NA,incomplete,true,true,NA,0,4,NA,purple,m_s_065.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1281.39999985695,true,NA,NA,NA,NA,NA
Uid2yFes,322zsn9z6jxccjxbpgrk4cn83gtt4w,3qemnnsb21c411hrwquer4lote67df,Uid2yFes,2020-0188,2021-10-15,11:17:41,12:24:19,NA,incomplete,true,true,NA,0,5,NA,purple,m_s_107.jpg,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,left,1674.90000009537,true,NA,NA,NA,NA,NA
Uid2yFes,322zsn9z6jxccjxbpgrk4cn83gtt4w,3qemnnsb21c411hrwquer4lote67df,Uid2yFes,2020-0188,2021-10-15,11:17:41,12:24:19,NA,incomplete,true,true,NA,0,6,NA,gray,m_s_008.jpg,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,right,1278.29999995232,true,NA,NA,NA,NA,NA
Uid2yFes,322zsn9z6jxccjxbpgrk4cn83gtt4w,3qemnnsb21c411hrwquer4lote67df,Uid2yFes,2020-0188,2021-10-15,11:17:41,12:24:19,NA,incomplete,true,true,NA,0,7,NA,gray,m_l_104.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,right,1787.09999990463,true,NA,NA,NA,NA,NA
Uid2yFes,322zsn9z6jxccjxbpgrk4cn83gtt4w,3qemnnsb21c411hrwquer4lote67df,Uid2yFes,2020-0188,2021-10-15,11:17:41,12:24:19,NA,incomplete,true,true,NA,0,8,NA,gray,m_l_072.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1989.5,true,NA,NA,NA,NA,NA
Uid2yFes,322zsn9z6jxccjxbpgrk4cn83gtt4w,3qemnnsb21c411hrwquer4lote67df,Uid2yFes,2020-0188,2021-10-15,11:17:41,12:24:19,NA,incomplete,true,true,NA,0,9,NA,gray,n_l_072.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,right,1315.39999985695,true,NA,NA,NA,NA,NA
