workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,practice,encoding,memory,block,trial,event_order,event,stim,answer,context_type,label_left,label_right,left_image,left_event,right_image,right_event,condition,response,response_time,response_acc,order_response,order_response_time,order_acc,distance_response,distance_response_time
yjgKw5he,322zsn9z6jxccjxbpgrk4cn83gtt4w,3cp1to84pxe2bn5sb8v0x1go5hm25m,yjgKw5he,2020-0188,2021-10-15,10:00:28,11:20:30,NA,incomplete,true,true,NA,0,0,NA,yellow,m_s_026.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1521.29999998212,true,NA,NA,NA,NA,NA
yjgKw5he,322zsn9z6jxccjxbpgrk4cn83gtt4w,3cp1to84pxe2bn5sb8v0x1go5hm25m,yjgKw5he,2020-0188,2021-10-15,10:00:28,11:20:30,NA,incomplete,true,true,NA,0,1,NA,yellow,n_s_039.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1282.40000000596,true,NA,NA,NA,NA,NA
yjgKw5he,322zsn9z6jxccjxbpgrk4cn83gtt4w,3cp1to84pxe2bn5sb8v0x1go5hm25m,yjgKw5he,2020-0188,2021-10-15,10:00:28,11:20:30,NA,incomplete,true,true,NA,0,2,NA,yellow,m_s_047.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,right,1298.09999999404,true,NA,NA,NA,NA,NA
yjgKw5he,322zsn9z6jxccjxbpgrk4cn83gtt4w,3cp1to84pxe2bn5sb8v0x1go5hm25m,yjgKw5he,2020-0188,2021-10-15,10:00:28,11:20:30,NA,incomplete,true,true,NA,0,3,NA,yellow,n_l_014.jpg,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,right,1485.60000002384,true,NA,NA,NA,NA,NA
yjgKw5he,322zsn9z6jxccjxbpgrk4cn83gtt4w,3cp1to84pxe2bn5sb8v0x1go5hm25m,yjgKw5he,2020-0188,2021-10-15,10:00:28,11:20:30,NA,incomplete,true,true,NA,0,4,NA,yellow,n_s_091.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1435.69999998808,true,NA,NA,NA,NA,NA
yjgKw5he,322zsn9z6jxccjxbpgrk4cn83gtt4w,3cp1to84pxe2bn5sb8v0x1go5hm25m,yjgKw5he,2020-0188,2021-10-15,10:00:28,11:20:30,NA,incomplete,true,true,NA,0,5,NA,yellow,m_s_015.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,right,1451.40000000596,true,NA,NA,NA,NA,NA
yjgKw5he,322zsn9z6jxccjxbpgrk4cn83gtt4w,3cp1to84pxe2bn5sb8v0x1go5hm25m,yjgKw5he,2020-0188,2021-10-15,10:00:28,11:20:30,NA,incomplete,true,true,NA,0,6,NA,brown,m_s_038.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1338.29999998212,true,NA,NA,NA,NA,NA
yjgKw5he,322zsn9z6jxccjxbpgrk4cn83gtt4w,3cp1to84pxe2bn5sb8v0x1go5hm25m,yjgKw5he,2020-0188,2021-10-15,10:00:28,11:20:30,NA,incomplete,true,true,NA,0,7,NA,brown,m_s_053.jpg,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,left,1542.09999999404,true,NA,NA,NA,NA,NA
yjgKw5he,322zsn9z6jxccjxbpgrk4cn83gtt4w,3cp1to84pxe2bn5sb8v0x1go5hm25m,yjgKw5he,2020-0188,2021-10-15,10:00:28,11:20:30,NA,incomplete,true,true,NA,0,8,NA,brown,m_s_065.jpg,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,left,1590.29999998212,true,NA,NA,NA,NA,NA
yjgKw5he,322zsn9z6jxccjxbpgrk4cn83gtt4w,3cp1to84pxe2bn5sb8v0x1go5hm25m,yjgKw5he,2020-0188,2021-10-15,10:00:28,11:20:30,NA,incomplete,true,true,NA,0,9,NA,brown,n_l_105.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1345.30000001192,true,NA,NA,NA,NA,NA
yjgKw5he,322zsn9z6jxccjxbpgrk4cn83gtt4w,3cp1to84pxe2bn5sb8v0x1go5hm25m,yjgKw5he,2020-0188,2021-10-15,10:00:28,11:20:30,NA,incomplete,true,true,NA,0,10,NA,brown,n_l_001.jpg,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,left,1406.80000001192,true,NA,NA,NA,NA,NA
