workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,practice,encoding,memory,association,block,trial,event_order,event,stim,answer,object,left_context,right_context,context_type,label_left,label_right,left_image,left_event,right_image,right_event,condition,response,response_time,response_acc,association_response_time,association_response,association_acc,order_response,order_response_time,order_acc,distance_response,distance_response_time
RzNbgDtK,3ac6mfv6anv2a7u5af0lkpxttwbhzq,3a1cohj8nn8pdvrcsr5awpwhyzph8p,RzNbgDtK,2020-0188,2021-10-30,18:55:16,20:30:59,NA,incomplete,true,true,NA,NA,0,0,NA,green,n_s_084.jpg,NA,NA,NA,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1704,true,NA,NA,NA,NA,NA,NA,NA,NA
RzNbgDtK,3ac6mfv6anv2a7u5af0lkpxttwbhzq,3a1cohj8nn8pdvrcsr5awpwhyzph8p,RzNbgDtK,2020-0188,2021-10-30,18:55:16,20:30:59,NA,incomplete,true,true,NA,NA,0,1,NA,green,m_l_016.jpg,NA,NA,NA,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,right,1666,true,NA,NA,NA,NA,NA,NA,NA,NA
RzNbgDtK,3ac6mfv6anv2a7u5af0lkpxttwbhzq,3a1cohj8nn8pdvrcsr5awpwhyzph8p,RzNbgDtK,2020-0188,2021-10-30,18:55:16,20:30:59,NA,incomplete,true,true,NA,NA,0,2,NA,green,n_s_117.jpg,NA,NA,NA,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,right,1701,true,NA,NA,NA,NA,NA,NA,NA,NA
RzNbgDtK,3ac6mfv6anv2a7u5af0lkpxttwbhzq,3a1cohj8nn8pdvrcsr5awpwhyzph8p,RzNbgDtK,2020-0188,2021-10-30,18:55:16,20:30:59,NA,incomplete,true,true,NA,NA,0,3,NA,green,n_l_027.jpg,NA,NA,NA,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,right,1733,true,NA,NA,NA,NA,NA,NA,NA,NA
RzNbgDtK,3ac6mfv6anv2a7u5af0lkpxttwbhzq,3a1cohj8nn8pdvrcsr5awpwhyzph8p,RzNbgDtK,2020-0188,2021-10-30,18:55:16,20:30:59,NA,incomplete,true,true,NA,NA,0,4,NA,green,m_l_050.jpg,NA,NA,NA,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1567,true,NA,NA,NA,NA,NA,NA,NA,NA
RzNbgDtK,3ac6mfv6anv2a7u5af0lkpxttwbhzq,3a1cohj8nn8pdvrcsr5awpwhyzph8p,RzNbgDtK,2020-0188,2021-10-30,18:55:16,20:30:59,NA,incomplete,true,true,NA,NA,0,5,NA,green,n_s_060.jpg,NA,NA,NA,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,right,1796,true,NA,NA,NA,NA,NA,NA,NA,NA
RzNbgDtK,3ac6mfv6anv2a7u5af0lkpxttwbhzq,3a1cohj8nn8pdvrcsr5awpwhyzph8p,RzNbgDtK,2020-0188,2021-10-30,18:55:16,20:30:59,NA,incomplete,true,true,NA,NA,0,6,NA,orange,n_s_096.jpg,NA,NA,NA,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1444,true,NA,NA,NA,NA,NA,NA,NA,NA
RzNbgDtK,3ac6mfv6anv2a7u5af0lkpxttwbhzq,3a1cohj8nn8pdvrcsr5awpwhyzph8p,RzNbgDtK,2020-0188,2021-10-30,18:55:16,20:30:59,NA,incomplete,true,true,NA,NA,0,7,NA,orange,m_s_011.jpg,NA,NA,NA,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,left,2330,true,NA,NA,NA,NA,NA,NA,NA,NA
RzNbgDtK,3ac6mfv6anv2a7u5af0lkpxttwbhzq,3a1cohj8nn8pdvrcsr5awpwhyzph8p,RzNbgDtK,2020-0188,2021-10-30,18:55:16,20:30:59,NA,incomplete,true,true,NA,NA,0,8,NA,orange,n_l_060.jpg,NA,NA,NA,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,left,1387,true,NA,NA,NA,NA,NA,NA,NA,NA
RzNbgDtK,3ac6mfv6anv2a7u5af0lkpxttwbhzq,3a1cohj8nn8pdvrcsr5awpwhyzph8p,RzNbgDtK,2020-0188,2021-10-30,18:55:16,20:30:59,NA,incomplete,true,true,NA,NA,0,9,NA,orange,n_s_079.jpg,NA,NA,NA,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,left,1340,true,NA,NA,NA,NA,NA,NA,NA,NA
RzNbgDtK,3ac6mfv6anv2a7u5af0lkpxttwbhzq,3a1cohj8nn8pdvrcsr5awpwhyzph8p,RzNbgDtK,2020-0188,2021-10-30,18:55:16,20:30:59,NA,incomplete,true,true,NA,NA,0,10,NA,orange,n_s_087.jpg,NA,NA,NA,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,left,2100,true,NA,NA,NA,NA,NA,NA,NA,NA
RzNbgDtK,3ac6mfv6anv2a7u5af0lkpxttwbhzq,3a1cohj8nn8pdvrcsr5awpwhyzph8p,RzNbgDtK,2020-0188,2021-10-30,18:55:16,20:30:59,NA,incomplete,true,true,NA,NA,0,11,NA,orange,m_s_094.jpg,NA,NA,NA,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1536,true,NA,NA,NA,NA,NA,NA,NA,NA
RzNbgDtK,3ac6mfv6anv2a7u5af0lkpxttwbhzq,3a1cohj8nn8pdvrcsr5awpwhyzph8p,RzNbgDtK,2020-0188,2021-10-30,18:55:16,20:30:59,NA,incomplete,true,true,NA,NA,0,12,NA,red,n_l_035.jpg,NA,NA,NA,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,right,1250,true,NA,NA,NA,NA,NA,NA,NA,NA
RzNbgDtK,3ac6mfv6anv2a7u5af0lkpxttwbhzq,3a1cohj8nn8pdvrcsr5awpwhyzph8p,RzNbgDtK,2020-0188,2021-10-30,18:55:16,20:30:59,NA,incomplete,true,true,NA,NA,0,13,NA,red,m_l_036.jpg,NA,NA,NA,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,left,1361,true,NA,NA,NA,NA,NA,NA,NA,NA
RzNbgDtK,3ac6mfv6anv2a7u5af0lkpxttwbhzq,3a1cohj8nn8pdvrcsr5awpwhyzph8p,RzNbgDtK,2020-0188,2021-10-30,18:55:16,20:30:59,NA,incomplete,true,true,NA,NA,0,14,NA,red,m_l_080.jpg,NA,NA,NA,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,left,1618,true,NA,NA,NA,NA,NA,NA,NA,NA
RzNbgDtK,3ac6mfv6anv2a7u5af0lkpxttwbhzq,3a1cohj8nn8pdvrcsr5awpwhyzph8p,RzNbgDtK,2020-0188,2021-10-30,18:55:16,20:30:59,NA,incomplete,true,true,NA,NA,0,15,NA,red,m_s_068.jpg,NA,NA,NA,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,left,1947,true,NA,NA,NA,NA,NA,NA,NA,NA
RzNbgDtK,3ac6mfv6anv2a7u5af0lkpxttwbhzq,3a1cohj8nn8pdvrcsr5awpwhyzph8p,RzNbgDtK,2020-0188,2021-10-30,18:55:16,20:30:59,NA,incomplete,true,true,NA,NA,0,16,NA,red,m_l_055.jpg,NA,NA,NA,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,right,1298,true,NA,NA,NA,NA,NA,NA,NA,NA
