workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,practice,encoding,memory,association,block,trial,event_order,event,stim,answer,object,left_context,right_context,context_type,label_left,label_right,left_image,left_event,right_image,right_event,condition,response,response_time,response_acc,association_response_time,association_response,association_acc,order_response,order_response_time,order_acc,distance_response,distance_response_time
qJHjdvl9,3fk4g712o0duz4m7qhicsa7sfszsso,3i0btbyza1yth1cy7nwjpal26070y8,qJHjdvl9,2020-0188,2021-10-31,19:09:16,20:15:23,NA,incomplete,true,true,NA,NA,0,0,NA,black,m_l_008.jpg,NA,NA,NA,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1470.10000014305,true,NA,NA,NA,NA,NA,NA,NA,NA
qJHjdvl9,3fk4g712o0duz4m7qhicsa7sfszsso,3i0btbyza1yth1cy7nwjpal26070y8,qJHjdvl9,2020-0188,2021-10-31,19:09:16,20:15:23,NA,incomplete,true,true,NA,NA,0,1,NA,black,n_l_066.jpg,NA,NA,NA,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,right,1006.20000004768,true,NA,NA,NA,NA,NA,NA,NA,NA
qJHjdvl9,3fk4g712o0duz4m7qhicsa7sfszsso,3i0btbyza1yth1cy7nwjpal26070y8,qJHjdvl9,2020-0188,2021-10-31,19:09:16,20:15:23,NA,incomplete,true,true,NA,NA,0,2,NA,black,n_s_019.jpg,NA,NA,NA,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1772.5,true,NA,NA,NA,NA,NA,NA,NA,NA
qJHjdvl9,3fk4g712o0duz4m7qhicsa7sfszsso,3i0btbyza1yth1cy7nwjpal26070y8,qJHjdvl9,2020-0188,2021-10-31,19:09:16,20:15:23,NA,incomplete,true,true,NA,NA,0,3,NA,black,m_s_102.jpg,NA,NA,NA,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,right,1135.20000004768,true,NA,NA,NA,NA,NA,NA,NA,NA
qJHjdvl9,3fk4g712o0duz4m7qhicsa7sfszsso,3i0btbyza1yth1cy7nwjpal26070y8,qJHjdvl9,2020-0188,2021-10-31,19:09:16,20:15:23,NA,incomplete,true,true,NA,NA,0,4,NA,black,m_l_049.jpg,NA,NA,NA,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,right,1307.39999985695,true,NA,NA,NA,NA,NA,NA,NA,NA
qJHjdvl9,3fk4g712o0duz4m7qhicsa7sfszsso,3i0btbyza1yth1cy7nwjpal26070y8,qJHjdvl9,2020-0188,2021-10-31,19:09:16,20:15:23,NA,incomplete,true,true,NA,NA,0,5,NA,black,m_l_041.jpg,NA,NA,NA,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,right,1016.40000009537,true,NA,NA,NA,NA,NA,NA,NA,NA
qJHjdvl9,3fk4g712o0duz4m7qhicsa7sfszsso,3i0btbyza1yth1cy7nwjpal26070y8,qJHjdvl9,2020-0188,2021-10-31,19:09:16,20:15:23,NA,incomplete,true,true,NA,NA,0,6,NA,brown,m_l_054.jpg,NA,NA,NA,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,left,1596.79999995232,true,NA,NA,NA,NA,NA,NA,NA,NA
qJHjdvl9,3fk4g712o0duz4m7qhicsa7sfszsso,3i0btbyza1yth1cy7nwjpal26070y8,qJHjdvl9,2020-0188,2021-10-31,19:09:16,20:15:23,NA,incomplete,true,true,NA,NA,0,7,NA,brown,m_s_022.jpg,NA,NA,NA,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,right,1145.09999990463,true,NA,NA,NA,NA,NA,NA,NA,NA
qJHjdvl9,3fk4g712o0duz4m7qhicsa7sfszsso,3i0btbyza1yth1cy7nwjpal26070y8,qJHjdvl9,2020-0188,2021-10-31,19:09:16,20:15:23,NA,incomplete,true,true,NA,NA,0,8,NA,brown,m_s_092.jpg,NA,NA,NA,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1375.29999995232,true,NA,NA,NA,NA,NA,NA,NA,NA
qJHjdvl9,3fk4g712o0duz4m7qhicsa7sfszsso,3i0btbyza1yth1cy7nwjpal26070y8,qJHjdvl9,2020-0188,2021-10-31,19:09:16,20:15:23,NA,incomplete,true,true,NA,NA,0,9,NA,brown,m_l_014.jpg,NA,NA,NA,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,right,1151.59999990463,true,NA,NA,NA,NA,NA,NA,NA,NA
qJHjdvl9,3fk4g712o0duz4m7qhicsa7sfszsso,3i0btbyza1yth1cy7nwjpal26070y8,qJHjdvl9,2020-0188,2021-10-31,19:09:16,20:15:23,NA,incomplete,true,true,NA,NA,0,10,NA,brown,m_l_108.jpg,NA,NA,NA,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,right,1019.20000004768,true,NA,NA,NA,NA,NA,NA,NA,NA
qJHjdvl9,3fk4g712o0duz4m7qhicsa7sfszsso,3i0btbyza1yth1cy7nwjpal26070y8,qJHjdvl9,2020-0188,2021-10-31,19:09:16,20:15:23,NA,incomplete,true,true,NA,NA,0,11,NA,brown,m_l_074.jpg,NA,NA,NA,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,right,1568.90000009537,true,NA,NA,NA,NA,NA,NA,NA,NA
qJHjdvl9,3fk4g712o0duz4m7qhicsa7sfszsso,3i0btbyza1yth1cy7nwjpal26070y8,qJHjdvl9,2020-0188,2021-10-31,19:09:16,20:15:23,NA,incomplete,true,true,NA,NA,0,12,NA,blue,n_s_102.jpg,NA,NA,NA,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1131.40000009537,true,NA,NA,NA,NA,NA,NA,NA,NA
qJHjdvl9,3fk4g712o0duz4m7qhicsa7sfszsso,3i0btbyza1yth1cy7nwjpal26070y8,qJHjdvl9,2020-0188,2021-10-31,19:09:16,20:15:23,NA,incomplete,true,true,NA,NA,0,13,NA,blue,n_s_034.jpg,NA,NA,NA,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1048.09999990463,true,NA,NA,NA,NA,NA,NA,NA,NA
qJHjdvl9,3fk4g712o0duz4m7qhicsa7sfszsso,3i0btbyza1yth1cy7nwjpal26070y8,qJHjdvl9,2020-0188,2021-10-31,19:09:16,20:15:23,NA,incomplete,true,true,NA,NA,0,14,NA,blue,m_l_064.jpg,NA,NA,NA,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,901.799999952316,true,NA,NA,NA,NA,NA,NA,NA,NA
