workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,practice,encoding,memory,association,block,trial,event_order,event,stim,answer,object,left_context,right_context,context_type,label_left,label_right,left_image,left_event,right_image,right_event,condition,response,response_time,response_acc,association_response_time,association_response,association_acc,order_response,order_response_time,order_acc,distance_response,distance_response_time
XOos5hem,3fk4g712o0duz4m7qhicsa7sfszsso,3tayzsbplpl3hp33n488qcqgmdms2x,XOos5hem,2020-0188,2021-10-31,20:05:45,02:38:42,NA,incomplete,true,true,NA,NA,0,0,NA,white,m_s_070.jpg,NA,NA,NA,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,right,2472.89999961853,true,NA,NA,NA,NA,NA,NA,NA,NA
XOos5hem,3fk4g712o0duz4m7qhicsa7sfszsso,3tayzsbplpl3hp33n488qcqgmdms2x,XOos5hem,2020-0188,2021-10-31,20:05:45,02:38:42,NA,incomplete,true,true,NA,NA,0,1,NA,white,n_l_079.jpg,NA,NA,NA,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,right,2162.60000038147,true,NA,NA,NA,NA,NA,NA,NA,NA
XOos5hem,3fk4g712o0duz4m7qhicsa7sfszsso,3tayzsbplpl3hp33n488qcqgmdms2x,XOos5hem,2020-0188,2021-10-31,20:05:45,02:38:42,NA,incomplete,true,true,NA,NA,0,2,NA,white,n_l_080.jpg,NA,NA,NA,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1505.5,true,NA,NA,NA,NA,NA,NA,NA,NA
XOos5hem,3fk4g712o0duz4m7qhicsa7sfszsso,3tayzsbplpl3hp33n488qcqgmdms2x,XOos5hem,2020-0188,2021-10-31,20:05:45,02:38:42,NA,incomplete,true,true,NA,NA,0,3,NA,white,m_l_023.jpg,NA,NA,NA,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,2770.60000038147,true,NA,NA,NA,NA,NA,NA,NA,NA
XOos5hem,3fk4g712o0duz4m7qhicsa7sfszsso,3tayzsbplpl3hp33n488qcqgmdms2x,XOos5hem,2020-0188,2021-10-31,20:05:45,02:38:42,NA,incomplete,true,true,NA,NA,0,4,NA,white,n_s_093.jpg,NA,NA,NA,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,left,1511.80000114441,true,NA,NA,NA,NA,NA,NA,NA,NA
XOos5hem,3fk4g712o0duz4m7qhicsa7sfszsso,3tayzsbplpl3hp33n488qcqgmdms2x,XOos5hem,2020-0188,2021-10-31,20:05:45,02:38:42,NA,incomplete,true,true,NA,NA,0,5,NA,white,m_s_075.jpg,NA,NA,NA,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1787.60000038147,true,NA,NA,NA,NA,NA,NA,NA,NA
XOos5hem,3fk4g712o0duz4m7qhicsa7sfszsso,3tayzsbplpl3hp33n488qcqgmdms2x,XOos5hem,2020-0188,2021-10-31,20:05:45,02:38:42,NA,incomplete,true,true,NA,NA,0,6,NA,green,m_s_062.jpg,NA,NA,NA,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,right,1667.69999885559,true,NA,NA,NA,NA,NA,NA,NA,NA
XOos5hem,3fk4g712o0duz4m7qhicsa7sfszsso,3tayzsbplpl3hp33n488qcqgmdms2x,XOos5hem,2020-0188,2021-10-31,20:05:45,02:38:42,NA,incomplete,true,true,NA,NA,0,7,NA,green,n_s_057.jpg,NA,NA,NA,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,right,2086.39999961853,true,NA,NA,NA,NA,NA,NA,NA,NA
XOos5hem,3fk4g712o0duz4m7qhicsa7sfszsso,3tayzsbplpl3hp33n488qcqgmdms2x,XOos5hem,2020-0188,2021-10-31,20:05:45,02:38:42,NA,incomplete,true,true,NA,NA,0,8,NA,green,m_s_017.jpg,NA,NA,NA,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,left,3205,true,NA,NA,NA,NA,NA,NA,NA,NA
XOos5hem,3fk4g712o0duz4m7qhicsa7sfszsso,3tayzsbplpl3hp33n488qcqgmdms2x,XOos5hem,2020-0188,2021-10-31,20:05:45,02:38:42,NA,incomplete,true,true,NA,NA,0,9,NA,green,m_l_055.jpg,NA,NA,NA,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,right,1651.90000152588,true,NA,NA,NA,NA,NA,NA,NA,NA
XOos5hem,3fk4g712o0duz4m7qhicsa7sfszsso,3tayzsbplpl3hp33n488qcqgmdms2x,XOos5hem,2020-0188,2021-10-31,20:05:45,02:38:42,NA,incomplete,true,true,NA,NA,0,10,NA,green,n_s_034.jpg,NA,NA,NA,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,right,1294.60000038147,true,NA,NA,NA,NA,NA,NA,NA,NA
XOos5hem,3fk4g712o0duz4m7qhicsa7sfszsso,3tayzsbplpl3hp33n488qcqgmdms2x,XOos5hem,2020-0188,2021-10-31,20:05:45,02:38:42,NA,incomplete,true,true,NA,NA,0,11,NA,green,n_s_074.jpg,NA,NA,NA,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,right,1107.90000152588,true,NA,NA,NA,NA,NA,NA,NA,NA
XOos5hem,3fk4g712o0duz4m7qhicsa7sfszsso,3tayzsbplpl3hp33n488qcqgmdms2x,XOos5hem,2020-0188,2021-10-31,20:05:45,02:38:42,NA,incomplete,true,true,NA,NA,0,12,NA,brown,m_s_066.jpg,NA,NA,NA,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,left,1360.30000114441,true,NA,NA,NA,NA,NA,NA,NA,NA
XOos5hem,3fk4g712o0duz4m7qhicsa7sfszsso,3tayzsbplpl3hp33n488qcqgmdms2x,XOos5hem,2020-0188,2021-10-31,20:05:45,02:38:42,NA,incomplete,true,true,NA,NA,0,13,NA,brown,m_s_068.jpg,NA,NA,NA,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1661,true,NA,NA,NA,NA,NA,NA,NA,NA
XOos5hem,3fk4g712o0duz4m7qhicsa7sfszsso,3tayzsbplpl3hp33n488qcqgmdms2x,XOos5hem,2020-0188,2021-10-31,20:05:45,02:38:42,NA,incomplete,true,true,NA,NA,0,14,NA,brown,m_l_073.jpg,NA,NA,NA,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,right,1343.30000114441,true,NA,NA,NA,NA,NA,NA,NA,NA
