workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,practice,encoding,memory,association,block,trial,event_order,event,stim,answer,object,left_context,right_context,context_type,label_left,label_right,left_image,left_event,right_image,right_event,condition,response,response_time,response_acc,association_response_time,association_response,association_acc,order_response,order_response_time,order_acc,distance_response,distance_response_time
aOs5zHKb,3icohx7eofotocxdgkfntnxuj980e9,3u84xhcdigqalf44mal4fkkht6f4z7,aOs5zHKb,2020-0188,2021-10-31,19:26:38,20:24:37,NA,incomplete,true,true,NA,NA,0,0,NA,brown,m_s_074.jpg,NA,NA,NA,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1943.5,true,NA,NA,NA,NA,NA,NA,NA,NA
aOs5zHKb,3icohx7eofotocxdgkfntnxuj980e9,3u84xhcdigqalf44mal4fkkht6f4z7,aOs5zHKb,2020-0188,2021-10-31,19:26:38,20:24:37,NA,incomplete,true,true,NA,NA,0,1,NA,brown,n_s_023.jpg,NA,NA,NA,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,right,1791.80000000075,true,NA,NA,NA,NA,NA,NA,NA,NA
aOs5zHKb,3icohx7eofotocxdgkfntnxuj980e9,3u84xhcdigqalf44mal4fkkht6f4z7,aOs5zHKb,2020-0188,2021-10-31,19:26:38,20:24:37,NA,incomplete,true,true,NA,NA,0,2,NA,brown,n_l_094.jpg,NA,NA,NA,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,right,1796,true,NA,NA,NA,NA,NA,NA,NA,NA
aOs5zHKb,3icohx7eofotocxdgkfntnxuj980e9,3u84xhcdigqalf44mal4fkkht6f4z7,aOs5zHKb,2020-0188,2021-10-31,19:26:38,20:24:37,NA,incomplete,true,true,NA,NA,0,3,NA,brown,m_s_028.jpg,NA,NA,NA,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,right,2899.29999999981,true,NA,NA,NA,NA,NA,NA,NA,NA
aOs5zHKb,3icohx7eofotocxdgkfntnxuj980e9,3u84xhcdigqalf44mal4fkkht6f4z7,aOs5zHKb,2020-0188,2021-10-31,19:26:38,20:24:37,NA,incomplete,true,true,NA,NA,0,4,NA,brown,n_l_031.jpg,NA,NA,NA,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,right,1236.5,true,NA,NA,NA,NA,NA,NA,NA,NA
aOs5zHKb,3icohx7eofotocxdgkfntnxuj980e9,3u84xhcdigqalf44mal4fkkht6f4z7,aOs5zHKb,2020-0188,2021-10-31,19:26:38,20:24:37,NA,incomplete,true,true,NA,NA,0,5,NA,brown,n_s_017.jpg,NA,NA,NA,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1447.5,true,NA,NA,NA,NA,NA,NA,NA,NA
aOs5zHKb,3icohx7eofotocxdgkfntnxuj980e9,3u84xhcdigqalf44mal4fkkht6f4z7,aOs5zHKb,2020-0188,2021-10-31,19:26:38,20:24:37,NA,incomplete,true,true,NA,NA,0,6,NA,green,n_s_050.jpg,NA,NA,NA,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1448.5,true,NA,NA,NA,NA,NA,NA,NA,NA
aOs5zHKb,3icohx7eofotocxdgkfntnxuj980e9,3u84xhcdigqalf44mal4fkkht6f4z7,aOs5zHKb,2020-0188,2021-10-31,19:26:38,20:24:37,NA,incomplete,true,true,NA,NA,0,7,NA,green,m_s_081.jpg,NA,NA,NA,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,right,1250.59999999963,true,NA,NA,NA,NA,NA,NA,NA,NA
aOs5zHKb,3icohx7eofotocxdgkfntnxuj980e9,3u84xhcdigqalf44mal4fkkht6f4z7,aOs5zHKb,2020-0188,2021-10-31,19:26:38,20:24:37,NA,incomplete,true,true,NA,NA,0,8,NA,green,m_s_094.jpg,NA,NA,NA,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,right,1613.10000000056,true,NA,NA,NA,NA,NA,NA,NA,NA
aOs5zHKb,3icohx7eofotocxdgkfntnxuj980e9,3u84xhcdigqalf44mal4fkkht6f4z7,aOs5zHKb,2020-0188,2021-10-31,19:26:38,20:24:37,NA,incomplete,true,true,NA,NA,0,9,NA,green,m_l_038.jpg,NA,NA,NA,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,left,1636.79999999981,true,NA,NA,NA,NA,NA,NA,NA,NA
aOs5zHKb,3icohx7eofotocxdgkfntnxuj980e9,3u84xhcdigqalf44mal4fkkht6f4z7,aOs5zHKb,2020-0188,2021-10-31,19:26:38,20:24:37,NA,incomplete,true,true,NA,NA,0,10,NA,green,n_s_028.jpg,NA,NA,NA,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1293.40000000037,true,NA,NA,NA,NA,NA,NA,NA,NA
aOs5zHKb,3icohx7eofotocxdgkfntnxuj980e9,3u84xhcdigqalf44mal4fkkht6f4z7,aOs5zHKb,2020-0188,2021-10-31,19:26:38,20:24:37,NA,incomplete,true,true,NA,NA,0,11,NA,green,m_l_067.jpg,NA,NA,NA,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1665.19999999925,true,NA,NA,NA,NA,NA,NA,NA,NA
aOs5zHKb,3icohx7eofotocxdgkfntnxuj980e9,3u84xhcdigqalf44mal4fkkht6f4z7,aOs5zHKb,2020-0188,2021-10-31,19:26:38,20:24:37,NA,incomplete,true,true,NA,NA,0,12,NA,yellow,n_s_042.jpg,NA,NA,NA,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,right,1648.79999999981,true,NA,NA,NA,NA,NA,NA,NA,NA
aOs5zHKb,3icohx7eofotocxdgkfntnxuj980e9,3u84xhcdigqalf44mal4fkkht6f4z7,aOs5zHKb,2020-0188,2021-10-31,19:26:38,20:24:37,NA,incomplete,true,true,NA,NA,0,13,NA,yellow,n_l_034.jpg,NA,NA,NA,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1395.10000000056,true,NA,NA,NA,NA,NA,NA,NA,NA
aOs5zHKb,3icohx7eofotocxdgkfntnxuj980e9,3u84xhcdigqalf44mal4fkkht6f4z7,aOs5zHKb,2020-0188,2021-10-31,19:26:38,20:24:37,NA,incomplete,true,true,NA,NA,0,14,NA,yellow,m_l_109.jpg,NA,NA,NA,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,right,1949.20000000019,true,NA,NA,NA,NA,NA,NA,NA,NA
aOs5zHKb,3icohx7eofotocxdgkfntnxuj980e9,3u84xhcdigqalf44mal4fkkht6f4z7,aOs5zHKb,2020-0188,2021-10-31,19:26:38,20:24:37,NA,incomplete,true,true,NA,NA,0,15,NA,yellow,m_s_088.jpg,NA,NA,NA,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1821.20000000019,true,NA,NA,NA,NA,NA,NA,NA,NA
aOs5zHKb,3icohx7eofotocxdgkfntnxuj980e9,3u84xhcdigqalf44mal4fkkht6f4z7,aOs5zHKb,2020-0188,2021-10-31,19:26:38,20:24:37,NA,incomplete,true,true,NA,NA,0,16,NA,yellow,n_s_011.jpg,NA,NA,NA,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1343.40000000037,true,NA,NA,NA,NA,NA,NA,NA,NA
aOs5zHKb,3icohx7eofotocxdgkfntnxuj980e9,3u84xhcdigqalf44mal4fkkht6f4z7,aOs5zHKb,2020-0188,2021-10-31,19:26:38,20:24:37,NA,incomplete,true,true,NA,NA,0,17,NA,yellow,n_s_113.jpg,NA,NA,NA,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,right,1513.79999999981,true,NA,NA,NA,NA,NA,NA,NA,NA
aOs5zHKb,3icohx7eofotocxdgkfntnxuj980e9,3u84xhcdigqalf44mal4fkkht6f4z7,aOs5zHKb,2020-0188,2021-10-31,19:26:38,20:24:37,NA,incomplete,true,true,NA,NA,0,18,NA,white,n_l_086.jpg,NA,NA,NA,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,right,2184.29999999981,true,NA,NA,NA,NA,NA,NA,NA,NA
aOs5zHKb,3icohx7eofotocxdgkfntnxuj980e9,3u84xhcdigqalf44mal4fkkht6f4z7,aOs5zHKb,2020-0188,2021-10-31,19:26:38,20:24:37,NA,incomplete,true,true,NA,NA,0,19,NA,white,n_l_075.jpg,NA,NA,NA,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1026.89999999944,true,NA,NA,NA,NA,NA,NA,NA,NA
aOs5zHKb,3icohx7eofotocxdgkfntnxuj980e9,3u84xhcdigqalf44mal4fkkht6f4z7,aOs5zHKb,2020-0188,2021-10-31,19:26:38,20:24:37,NA,incomplete,true,true,NA,NA,0,20,NA,white,m_s_001.jpg,NA,NA,NA,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,left,1420.80000000075,true,NA,NA,NA,NA,NA,NA,NA,NA
aOs5zHKb,3icohx7eofotocxdgkfntnxuj980e9,3u84xhcdigqalf44mal4fkkht6f4z7,aOs5zHKb,2020-0188,2021-10-31,19:26:38,20:24:37,NA,incomplete,true,true,NA,NA,0,21,NA,white,n_l_029.jpg,NA,NA,NA,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,right,1444.59999999963,true,NA,NA,NA,NA,NA,NA,NA,NA
aOs5zHKb,3icohx7eofotocxdgkfntnxuj980e9,3u84xhcdigqalf44mal4fkkht6f4z7,aOs5zHKb,2020-0188,2021-10-31,19:26:38,20:24:37,NA,incomplete,true,true,NA,NA,0,22,NA,white,m_s_078.jpg,NA,NA,NA,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,right,1406.79999999981,true,NA,NA,NA,NA,NA,NA,NA,NA
aOs5zHKb,3icohx7eofotocxdgkfntnxuj980e9,3u84xhcdigqalf44mal4fkkht6f4z7,aOs5zHKb,2020-0188,2021-10-31,19:26:38,20:24:37,NA,incomplete,true,true,NA,NA,0,23,NA,white,m_s_046.jpg,NA,NA,NA,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,left,1890.29999999981,true,NA,NA,NA,NA,NA,NA,NA,NA
aOs5zHKb,3icohx7eofotocxdgkfntnxuj980e9,3u84xhcdigqalf44mal4fkkht6f4z7,aOs5zHKb,2020-0188,2021-10-31,19:26:38,20:24:37,NA,incomplete,true,true,NA,NA,0,24,NA,red,m_s_075.jpg,NA,NA,NA,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,left,1338.10000000056,true,NA,NA,NA,NA,NA,NA,NA,NA
aOs5zHKb,3icohx7eofotocxdgkfntnxuj980e9,3u84xhcdigqalf44mal4fkkht6f4z7,aOs5zHKb,2020-0188,2021-10-31,19:26:38,20:24:37,NA,incomplete,true,true,NA,NA,0,25,NA,red,m_s_109.jpg,NA,NA,NA,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,right,1675.29999999981,true,NA,NA,NA,NA,NA,NA,NA,NA
aOs5zHKb,3icohx7eofotocxdgkfntnxuj980e9,3u84xhcdigqalf44mal4fkkht6f4z7,aOs5zHKb,2020-0188,2021-10-31,19:26:38,20:24:37,NA,incomplete,true,true,NA,NA,0,26,NA,red,n_l_027.jpg,NA,NA,NA,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1030,true,NA,NA,NA,NA,NA,NA,NA,NA
